变压器资产ID,产生时间（yyyy-MM-dd HH:mm:ss）,油位
500KV-BYQ-003,2024-07-12 06:00:00,436.5
500KV-BYQ-001,2024-07-12 12:00:00,490.1
500KV-BYQ-002,2024-07-12 12:00:00,444.9
500KV-BYQ-003,2024-07-12 12:00:00,436.9
500KV-BYQ-001,2024-07-12 18:00:00,486.9
500KV-BYQ-002,2024-07-12 18:00:00,444.7
500KV-BYQ-003,2024-07-12 18:00:00,435.6
500KV-BYQ-001,2024-07-13 00:00:00,487.6
500KV-BYQ-002,2024-07-13 00:00:00,445.5
500KV-BYQ-003,2024-07-13 00:00:00,436.1
500KV-BYQ-001,2024-07-13 06:00:00,489.1
500KV-BYQ-002,2024-07-13 06:00:00,449.6
500KV-BYQ-003,2024-07-13 06:00:00,437.3
500KV-BYQ-001,2024-07-13 12:00:00,489.1
500KV-BYQ-002,2024-07-13 12:00:00,454.5
500KV-BYQ-003,2024-07-13 12:00:00,432.5
500KV-BYQ-001,2024-07-13 18:00:00,488.4
500KV-BYQ-002,2024-07-13 18:00:00,453.8
500KV-BYQ-003,2024-07-13 18:00:00,427.7
500KV-BYQ-001,2024-07-14 00:00:00,493.3
500KV-BYQ-002,2024-07-14 00:00:00,453.8
500KV-BYQ-003,2024-07-14 00:00:00,423.6
500KV-BYQ-001,2024-07-14 06:00:00,488.8
500KV-BYQ-002,2024-07-14 06:00:00,457.6
500KV-BYQ-003,2024-07-14 06:00:00,425.5
500KV-BYQ-001,2024-07-14 12:00:00,486.9
500KV-BYQ-002,2024-07-14 12:00:00,461.9
500KV-BYQ-003,2024-07-14 12:00:00,429.3
500KV-BYQ-001,2024-07-14 18:00:00,485.5
500KV-BYQ-002,2024-07-14 18:00:00,464.8
500KV-BYQ-003,2024-07-14 18:00:00,429.5
500KV-BYQ-001,2024-07-15 00:00:00,489.0
500KV-BYQ-002,2024-07-15 00:00:00,466.2
500KV-BYQ-003,2024-07-15 00:00:00,425.5
500KV-BYQ-001,2024-07-15 06:00:00,486.8
500KV-BYQ-002,2024-07-15 06:00:00,470.7
500KV-BYQ-003,2024-07-15 06:00:00,425.5
500KV-BYQ-001,2024-07-15 12:00:00,482.0
500KV-BYQ-002,2024-07-15 12:00:00,467.2
500KV-BYQ-003,2024-07-15 12:00:00,420.7
500KV-BYQ-001,2024-07-15 18:00:00,483.6
500KV-BYQ-002,2024-07-15 18:00:00,462.5
500KV-BYQ-003,2024-07-15 18:00:00,423.5
500KV-BYQ-001,2024-07-16 00:00:00,479.7
500KV-BYQ-002,2024-07-16 00:00:00,457.7
500KV-BYQ-003,2024-07-16 00:00:00,421.2
500KV-BYQ-001,2024-07-16 06:00:00,475.9
500KV-BYQ-002,2024-07-16 06:00:00,456.0
500KV-BYQ-003,2024-07-16 06:00:00,417.8
500KV-BYQ-001,2024-07-16 12:00:00,479.8
500KV-BYQ-002,2024-07-16 12:00:00,456.3
500KV-BYQ-003,2024-07-16 12:00:00,419.2
500KV-BYQ-001,2024-07-16 18:00:00,478.9
500KV-BYQ-002,2024-07-16 18:00:00,455.2
500KV-BYQ-003,2024-07-16 18:00:00,422.8
500KV-BYQ-001,2024-07-17 00:00:00,476.5
500KV-BYQ-002,2024-07-17 00:00:00,450.3
500KV-BYQ-003,2024-07-17 00:00:00,419.7
500KV-BYQ-001,2024-07-17 06:00:00,481.2
500KV-BYQ-002,2024-07-17 06:00:00,455.2
500KV-BYQ-003,2024-07-17 06:00:00,417.3
500KV-BYQ-001,2024-07-17 12:00:00,480.8
500KV-BYQ-002,2024-07-17 12:00:00,455.0
500KV-BYQ-003,2024-07-17 12:00:00,414.0
500KV-BYQ-001,2024-07-17 18:00:00,480.5
500KV-BYQ-002,2024-07-17 18:00:00,458.4
500KV-BYQ-003,2024-07-17 18:00:00,416.3
500KV-BYQ-001,2024-07-18 00:00:00,477.8
500KV-BYQ-002,2024-07-18 00:00:00,461.2
500KV-BYQ-003,2024-07-18 00:00:00,412.0
500KV-BYQ-001,2024-07-18 06:00:00,476.4
500KV-BYQ-002,2024-07-18 06:00:00,459.9
500KV-BYQ-003,2024-07-18 06:00:00,415.7
500KV-BYQ-001,2024-07-18 12:00:00,473.6
500KV-BYQ-002,2024-07-18 12:00:00,462.2
500KV-BYQ-003,2024-07-18 12:00:00,416.3
500KV-BYQ-001,2024-07-18 18:00:00,473.9
500KV-BYQ-002,2024-07-18 18:00:00,461.2
500KV-BYQ-003,2024-07-18 18:00:00,416.1
500KV-BYQ-001,2024-07-19 00:00:00,477.2
500KV-BYQ-002,2024-07-19 00:00:00,456.7
500KV-BYQ-003,2024-07-19 00:00:00,418.2
500KV-BYQ-001,2024-07-19 06:00:00,480.6
500KV-BYQ-002,2024-07-19 06:00:00,453.0
500KV-BYQ-003,2024-07-19 06:00:00,421.6
500KV-BYQ-001,2024-07-19 12:00:00,479.6
500KV-BYQ-002,2024-07-19 12:00:00,456.5
500KV-BYQ-003,2024-07-19 12:00:00,420.9
500KV-BYQ-001,2024-07-19 18:00:00,481.3
500KV-BYQ-002,2024-07-19 18:00:00,451.8
500KV-BYQ-003,2024-07-19 18:00:00,425.1
500KV-BYQ-001,2024-07-20 00:00:00,478.8
500KV-BYQ-002,2024-07-20 00:00:00,447.0
500KV-BYQ-003,2024-07-20 00:00:00,422.2
500KV-BYQ-001,2024-07-20 06:00:00,479.9
500KV-BYQ-002,2024-07-20 06:00:00,447.8
500KV-BYQ-003,2024-07-20 06:00:00,424.6
500KV-BYQ-001,2024-07-20 12:00:00,476.5
500KV-BYQ-002,2024-07-20 12:00:00,452.6
500KV-BYQ-003,2024-07-20 12:00:00,429.3
500KV-BYQ-001,2024-07-20 18:00:00,477.8
500KV-BYQ-002,2024-07-20 18:00:00,452.5
500KV-BYQ-003,2024-07-20 18:00:00,427.2
500KV-BYQ-001,2024-07-21 00:00:00,475.9
500KV-BYQ-002,2024-07-21 00:00:00,455.1
500KV-BYQ-003,2024-07-21 00:00:00,424.3
500KV-BYQ-001,2024-07-21 06:00:00,477.2
500KV-BYQ-002,2024-07-21 06:00:00,450.7
500KV-BYQ-003,2024-07-21 06:00:00,428.5
500KV-BYQ-001,2024-07-21 12:00:00,481.2
500KV-BYQ-002,2024-07-21 12:00:00,451.1
500KV-BYQ-003,2024-07-21 12:00:00,431.2
500KV-BYQ-001,2024-07-21 18:00:00,484.4
500KV-BYQ-002,2024-07-21 18:00:00,447.5
500KV-BYQ-003,2024-07-21 18:00:00,427.5
500KV-BYQ-001,2024-07-22 00:00:00,484.7
500KV-BYQ-002,2024-07-22 00:00:00,443.1
500KV-BYQ-003,2024-07-22 00:00:00,428.1
500KV-BYQ-001,2024-07-22 06:00:00,481.0
500KV-BYQ-002,2024-07-22 06:00:00,445.4
500KV-BYQ-003,2024-07-22 06:00:00,431.3
500KV-BYQ-001,2024-07-22 12:00:00,481.5
500KV-BYQ-002,2024-07-22 12:00:00,444.0
500KV-BYQ-003,2024-07-22 12:00:00,427.5
500KV-BYQ-001,2024-07-22 18:00:00,483.8
500KV-BYQ-002,2024-07-22 18:00:00,446.6
500KV-BYQ-003,2024-07-22 18:00:00,423.1
500KV-BYQ-001,2024-07-23 00:00:00,488.3
500KV-BYQ-002,2024-07-23 00:00:00,447.8
500KV-BYQ-003,2024-07-23 00:00:00,421.4
500KV-BYQ-001,2024-07-23 06:00:00,487.8
500KV-BYQ-002,2024-07-23 06:00:00,450.2
500KV-BYQ-003,2024-07-23 06:00:00,417.0
500KV-BYQ-001,2024-07-23 12:00:00,487.4
500KV-BYQ-002,2024-07-23 12:00:00,453.1
500KV-BYQ-003,2024-07-23 12:00:00,421.2
500KV-BYQ-001,2024-07-23 18:00:00,489.8
500KV-BYQ-002,2024-07-23 18:00:00,457.8
500KV-BYQ-003,2024-07-23 18:00:00,424.8
500KV-BYQ-001,2024-07-24 00:00:00,486.2
500KV-BYQ-002,2024-07-24 00:00:00,460.3
500KV-BYQ-003,2024-07-24 00:00:00,427.4
500KV-BYQ-001,2024-07-24 06:00:00,484.6
500KV-BYQ-002,2024-07-24 06:00:00,457.9
500KV-BYQ-003,2024-07-24 06:00:00,427.0
500KV-BYQ-001,2024-07-24 12:00:00,480.1
500KV-BYQ-002,2024-07-24 12:00:00,461.3
500KV-BYQ-003,2024-07-24 12:00:00,422.7
500KV-BYQ-001,2024-07-24 18:00:00,475.2
500KV-BYQ-002,2024-07-24 18:00:00,463.0
500KV-BYQ-003,2024-07-24 18:00:00,421.6
500KV-BYQ-001,2024-07-25 00:00:00,471.4
500KV-BYQ-002,2024-07-25 00:00:00,466.7
500KV-BYQ-003,2024-07-25 00:00:00,424.0
500KV-BYQ-001,2024-07-25 06:00:00,468.8
500KV-BYQ-002,2024-07-25 06:00:00,462.3
500KV-BYQ-003,2024-07-25 06:00:00,427.1
500KV-BYQ-001,2024-07-25 12:00:00,469.1
500KV-BYQ-002,2024-07-25 12:00:00,466.2
500KV-BYQ-003,2024-07-25 12:00:00,425.9
500KV-BYQ-001,2024-07-25 18:00:00,469.8
500KV-BYQ-002,2024-07-25 18:00:00,462.8
500KV-BYQ-003,2024-07-25 18:00:00,430.2
500KV-BYQ-001,2024-07-26 00:00:00,473.5
500KV-BYQ-002,2024-07-26 00:00:00,465.5
500KV-BYQ-003,2024-07-26 00:00:00,431.0
500KV-BYQ-001,2024-07-26 06:00:00,473.7
500KV-BYQ-002,2024-07-26 06:00:00,460.8
500KV-BYQ-003,2024-07-26 06:00:00,430.9
500KV-BYQ-001,2024-07-26 12:00:00,477.6
500KV-BYQ-002,2024-07-26 12:00:00,462.5
500KV-BYQ-003,2024-07-26 12:00:00,429.1
500KV-BYQ-001,2024-07-26 18:00:00,477.2
500KV-BYQ-002,2024-07-26 18:00:00,460.5
500KV-BYQ-003,2024-07-26 18:00:00,424.7
500KV-BYQ-001,2024-07-27 00:00:00,481.7
500KV-BYQ-002,2024-07-27 00:00:00,457.2
500KV-BYQ-003,2024-07-27 00:00:00,425.4
500KV-BYQ-001,2024-07-27 06:00:00,484.0
500KV-BYQ-002,2024-07-27 06:00:00,459.5
500KV-BYQ-003,2024-07-27 06:00:00,429.8
500KV-BYQ-001,2024-07-27 12:00:00,479.1
500KV-BYQ-002,2024-07-27 12:00:00,463.5
500KV-BYQ-003,2024-07-27 12:00:00,431.8
500KV-BYQ-001,2024-07-27 18:00:00,477.3
500KV-BYQ-002,2024-07-27 18:00:00,460.3
500KV-BYQ-003,2024-07-27 18:00:00,433.4
500KV-BYQ-001,2024-07-28 00:00:00,475.8
500KV-BYQ-002,2024-07-28 00:00:00,457.6
500KV-BYQ-003,2024-07-28 00:00:00,433.9
500KV-BYQ-001,2024-07-28 06:00:00,479.1
500KV-BYQ-002,2024-07-28 06:00:00,457.4
500KV-BYQ-003,2024-07-28 06:00:00,437.0
500KV-BYQ-001,2024-07-28 12:00:00,480.0
500KV-BYQ-002,2024-07-28 12:00:00,456.6
500KV-BYQ-003,2024-07-28 12:00:00,439.7
500KV-BYQ-001,2024-07-28 18:00:00,484.4
500KV-BYQ-002,2024-07-28 18:00:00,451.8
500KV-BYQ-003,2024-07-28 18:00:00,443.3
500KV-BYQ-001,2024-07-29 00:00:00,480.0
500KV-BYQ-002,2024-07-29 00:00:00,450.1
500KV-BYQ-003,2024-07-29 00:00:00,445.9
500KV-BYQ-001,2024-07-29 06:00:00,483.0
500KV-BYQ-002,2024-07-29 06:00:00,450.9
500KV-BYQ-003,2024-07-29 06:00:00,447.3
500KV-BYQ-001,2024-07-29 12:00:00,487.5
500KV-BYQ-002,2024-07-29 12:00:00,447.3
500KV-BYQ-003,2024-07-29 12:00:00,449.9
500KV-BYQ-001,2024-07-29 18:00:00,486.6
500KV-BYQ-002,2024-07-29 18:00:00,449.5
500KV-BYQ-003,2024-07-29 18:00:00,446.6
500KV-BYQ-001,2024-07-30 00:00:00,482.8
500KV-BYQ-002,2024-07-30 00:00:00,452.6
500KV-BYQ-003,2024-07-30 00:00:00,445.4
500KV-BYQ-001,2024-07-30 06:00:00,479.9
500KV-BYQ-002,2024-07-30 06:00:00,456.7
500KV-BYQ-003,2024-07-30 06:00:00,445.2
500KV-BYQ-001,2024-07-30 12:00:00,480.8
500KV-BYQ-002,2024-07-30 12:00:00,458.3
500KV-BYQ-003,2024-07-30 12:00:00,445.6
500KV-BYQ-001,2024-07-30 18:00:00,485.4
500KV-BYQ-002,2024-07-30 18:00:00,463.2
500KV-BYQ-003,2024-07-30 18:00:00,444.3
500KV-BYQ-001,2024-07-31 00:00:00,487.4
500KV-BYQ-002,2024-07-31 00:00:00,458.8
500KV-BYQ-003,2024-07-31 00:00:00,448.8
500KV-BYQ-001,2024-07-31 06:00:00,483.8
500KV-BYQ-002,2024-07-31 06:00:00,454.4
500KV-BYQ-003,2024-07-31 06:00:00,444.3
500KV-BYQ-001,2024-07-31 12:00:00,488.1
500KV-BYQ-002,2024-07-31 12:00:00,459.3
500KV-BYQ-003,2024-07-31 12:00:00,444.1
500KV-BYQ-001,2024-07-31 18:00:00,486.4
500KV-BYQ-002,2024-07-31 18:00:00,458.6
500KV-BYQ-003,2024-07-31 18:00:00,444.3
500KV-BYQ-001,2024-08-01 00:00:00,481.6
500KV-BYQ-002,2024-08-01 00:00:00,463.2
500KV-BYQ-003,2024-08-01 00:00:00,443.9
500KV-BYQ-001,2024-08-01 06:00:00,476.9
500KV-BYQ-002,2024-08-01 06:00:00,460.7
500KV-BYQ-003,2024-08-01 06:00:00,439.7
500KV-BYQ-001,2024-08-01 12:00:00,475.6
500KV-BYQ-002,2024-08-01 12:00:00,464.8
500KV-BYQ-003,2024-08-01 12:00:00,443.4
500KV-BYQ-001,2024-08-01 18:00:00,477.6
500KV-BYQ-002,2024-08-01 18:00:00,461.8
500KV-BYQ-003,2024-08-01 18:00:00,441.7
500KV-BYQ-001,2024-08-02 00:00:00,482.1
500KV-BYQ-002,2024-08-02 00:00:00,466.3
500KV-BYQ-003,2024-08-02 00:00:00,445.4
500KV-BYQ-001,2024-08-02 06:00:00,483.7
500KV-BYQ-002,2024-08-02 06:00:00,461.8
500KV-BYQ-003,2024-08-02 06:00:00,445.4
500KV-BYQ-001,2024-08-02 12:00:00,479.9
500KV-BYQ-002,2024-08-02 12:00:00,459.9
500KV-BYQ-003,2024-08-02 12:00:00,448.5
500KV-BYQ-001,2024-08-02 18:00:00,483.1
500KV-BYQ-002,2024-08-02 18:00:00,458.2
500KV-BYQ-003,2024-08-02 18:00:00,450.2
500KV-BYQ-001,2024-08-03 00:00:00,485.0
500KV-BYQ-002,2024-08-03 00:00:00,460.7
500KV-BYQ-003,2024-08-03 00:00:00,448.4
500KV-BYQ-001,2024-08-03 06:00:00,487.2
500KV-BYQ-002,2024-08-03 06:00:00,458.6
500KV-BYQ-003,2024-08-03 06:00:00,447.7
500KV-BYQ-001,2024-08-03 12:00:00,484.1
500KV-BYQ-002,2024-08-03 12:00:00,455.4
500KV-BYQ-003,2024-08-03 12:00:00,451.2
500KV-BYQ-001,2024-08-03 18:00:00,485.3
500KV-BYQ-002,2024-08-03 18:00:00,458.5
500KV-BYQ-003,2024-08-03 18:00:00,453.0
500KV-BYQ-001,2024-08-04 00:00:00,484.2
500KV-BYQ-002,2024-08-04 00:00:00,456.5
500KV-BYQ-003,2024-08-04 00:00:00,456.0
500KV-BYQ-001,2024-08-04 06:00:00,486.7
500KV-BYQ-002,2024-08-04 06:00:00,453.9
500KV-BYQ-003,2024-08-04 06:00:00,460.5
500KV-BYQ-001,2024-08-04 12:00:00,483.3
500KV-BYQ-002,2024-08-04 12:00:00,455.7
500KV-BYQ-003,2024-08-04 12:00:00,463.0
500KV-BYQ-001,2024-08-04 18:00:00,481.7
500KV-BYQ-002,2024-08-04 18:00:00,451.0
500KV-BYQ-003,2024-08-04 18:00:00,466.4
500KV-BYQ-001,2024-08-05 00:00:00,478.7
500KV-BYQ-002,2024-08-05 00:00:00,446.3
500KV-BYQ-003,2024-08-05 00:00:00,462.2
500KV-BYQ-001,2024-08-05 06:00:00,483.6
500KV-BYQ-002,2024-08-05 06:00:00,446.4
500KV-BYQ-003,2024-08-05 06:00:00,465.3
500KV-BYQ-001,2024-08-05 12:00:00,485.9
500KV-BYQ-002,2024-08-05 12:00:00,449.6
500KV-BYQ-003,2024-08-05 12:00:00,464.3
500KV-BYQ-001,2024-08-05 18:00:00,490.1
500KV-BYQ-002,2024-08-05 18:00:00,447.3
500KV-BYQ-003,2024-08-05 18:00:00,469.0
500KV-BYQ-001,2024-08-06 00:00:00,490.7
500KV-BYQ-002,2024-08-06 00:00:00,445.1
500KV-BYQ-003,2024-08-06 00:00:00,470.8
500KV-BYQ-001,2024-08-06 06:00:00,486.8
500KV-BYQ-002,2024-08-06 06:00:00,444.2
500KV-BYQ-003,2024-08-06 06:00:00,474.0
500KV-BYQ-001,2024-08-06 12:00:00,486.5
500KV-BYQ-002,2024-08-06 12:00:00,441.2
500KV-BYQ-003,2024-08-06 12:00:00,469.8
500KV-BYQ-001,2024-08-06 18:00:00,489.8
500KV-BYQ-002,2024-08-06 18:00:00,442.3
500KV-BYQ-003,2024-08-06 18:00:00,470.7
500KV-BYQ-001,2024-08-07 00:00:00,487.4
500KV-BYQ-002,2024-08-07 00:00:00,438.8
500KV-BYQ-003,2024-08-07 00:00:00,471.0
500KV-BYQ-001,2024-08-07 06:00:00,491.4
500KV-BYQ-002,2024-08-07 06:00:00,443.3
500KV-BYQ-003,2024-08-07 06:00:00,471.9
500KV-BYQ-001,2024-08-07 12:00:00,492.0
500KV-BYQ-002,2024-08-07 12:00:00,439.4
500KV-BYQ-003,2024-08-07 12:00:00,473.7
500KV-BYQ-001,2024-08-07 18:00:00,490.4
500KV-BYQ-002,2024-08-07 18:00:00,435.0
500KV-BYQ-003,2024-08-07 18:00:00,477.9
500KV-BYQ-001,2024-08-08 00:00:00,487.9
500KV-BYQ-002,2024-08-08 00:00:00,432.1
500KV-BYQ-003,2024-08-08 00:00:00,477.3
500KV-BYQ-001,2024-08-08 06:00:00,491.3
500KV-BYQ-002,2024-08-08 06:00:00,433.5
500KV-BYQ-003,2024-08-08 06:00:00,481.8
500KV-BYQ-001,2024-08-08 12:00:00,486.6
500KV-BYQ-002,2024-08-08 12:00:00,431.0
500KV-BYQ-003,2024-08-08 12:00:00,481.1
500KV-BYQ-001,2024-08-08 18:00:00,482.1
500KV-BYQ-002,2024-08-08 18:00:00,434.5
500KV-BYQ-003,2024-08-08 18:00:00,484.8
500KV-BYQ-001,2024-08-09 00:00:00,479.8
500KV-BYQ-002,2024-08-09 00:00:00,432.2
500KV-BYQ-003,2024-08-09 00:00:00,486.1
500KV-BYQ-001,2024-08-09 06:00:00,482.4
500KV-BYQ-002,2024-08-09 06:00:00,429.4
500KV-BYQ-003,2024-08-09 06:00:00,485.7
500KV-BYQ-001,2024-08-09 12:00:00,483.7
500KV-BYQ-002,2024-08-09 12:00:00,430.2
500KV-BYQ-003,2024-08-09 12:00:00,481.5
500KV-BYQ-001,2024-08-09 18:00:00,486.6
500KV-BYQ-002,2024-08-09 18:00:00,430.9
500KV-BYQ-003,2024-08-09 18:00:00,484.3
500KV-BYQ-001,2024-08-10 00:00:00,483.2
500KV-BYQ-002,2024-08-10 00:00:00,435.1
500KV-BYQ-003,2024-08-10 00:00:00,482.4
500KV-BYQ-001,2024-08-10 06:00:00,480.1
500KV-BYQ-002,2024-08-10 06:00:00,433.0
500KV-BYQ-003,2024-08-10 06:00:00,477.7
500KV-BYQ-001,2024-08-10 12:00:00,481.5
500KV-BYQ-002,2024-08-10 12:00:00,434.2
500KV-BYQ-003,2024-08-10 12:00:00,476.8
500KV-BYQ-001,2024-08-10 18:00:00,482.7
500KV-BYQ-002,2024-08-10 18:00:00,432.0
500KV-BYQ-003,2024-08-10 18:00:00,481.4
500KV-BYQ-001,2024-08-11 00:00:00,482.5
500KV-BYQ-002,2024-08-11 00:00:00,432.9
500KV-BYQ-003,2024-08-11 00:00:00,477.4
500KV-BYQ-001,2024-08-11 06:00:00,480.2
500KV-BYQ-002,2024-08-11 06:00:00,433.6
500KV-BYQ-003,2024-08-11 06:00:00,482.2
500KV-BYQ-001,2024-08-11 12:00:00,477.9
500KV-BYQ-002,2024-08-11 12:00:00,437.5
500KV-BYQ-003,2024-08-11 12:00:00,477.5
500KV-BYQ-001,2024-08-11 18:00:00,478.8
500KV-BYQ-002,2024-08-11 18:00:00,433.6
500KV-BYQ-003,2024-08-11 18:00:00,477.2
500KV-BYQ-001,2024-08-12 00:00:00,481.5
500KV-BYQ-002,2024-08-12 00:00:00,436.3
500KV-BYQ-003,2024-08-12 00:00:00,476.3
500KV-BYQ-001,2024-08-12 06:00:00,477.5
500KV-BYQ-002,2024-08-12 06:00:00,432.9
500KV-BYQ-003,2024-08-12 06:00:00,471.5
500KV-BYQ-001,2024-08-12 12:00:00,474.9
500KV-BYQ-002,2024-08-12 12:00:00,429.7
500KV-BYQ-003,2024-08-12 12:00:00,476.0
500KV-BYQ-001,2024-08-12 18:00:00,473.2
500KV-BYQ-002,2024-08-12 18:00:00,429.1
500KV-BYQ-003,2024-08-12 18:00:00,480.4
500KV-BYQ-001,2024-08-13 00:00:00,472.3
500KV-BYQ-002,2024-08-13 00:00:00,428.4
500KV-BYQ-003,2024-08-13 00:00:00,476.5
500KV-BYQ-001,2024-08-13 06:00:00,469.3
500KV-BYQ-002,2024-08-13 06:00:00,429.8
500KV-BYQ-003,2024-08-13 06:00:00,474.2
500KV-BYQ-001,2024-08-13 12:00:00,464.8
500KV-BYQ-002,2024-08-13 12:00:00,427.1
500KV-BYQ-003,2024-08-13 12:00:00,470.7
500KV-BYQ-001,2024-08-13 18:00:00,464.4
500KV-BYQ-002,2024-08-13 18:00:00,429.8
500KV-BYQ-003,2024-08-13 18:00:00,472.4
500KV-BYQ-001,2024-08-14 00:00:00,465.5
500KV-BYQ-002,2024-08-14 00:00:00,426.3
500KV-BYQ-003,2024-08-14 00:00:00,474.3
500KV-BYQ-001,2024-08-14 06:00:00,463.4
500KV-BYQ-002,2024-08-14 06:00:00,423.0
500KV-BYQ-003,2024-08-14 06:00:00,473.0
500KV-BYQ-001,2024-08-14 12:00:00,467.8
500KV-BYQ-002,2024-08-14 12:00:00,426.9
500KV-BYQ-003,2024-08-14 12:00:00,476.2
500KV-BYQ-001,2024-08-14 18:00:00,470.4
500KV-BYQ-002,2024-08-14 18:00:00,427.4
500KV-BYQ-003,2024-08-14 18:00:00,475.3
500KV-BYQ-001,2024-08-15 00:00:00,467.4
500KV-BYQ-002,2024-08-15 00:00:00,429.3
500KV-BYQ-003,2024-08-15 00:00:00,471.4
500KV-BYQ-001,2024-08-15 06:00:00,468.1
500KV-BYQ-002,2024-08-15 06:00:00,433.3
500KV-BYQ-003,2024-08-15 06:00:00,471.5
500KV-BYQ-001,2024-08-15 12:00:00,464.1
500KV-BYQ-002,2024-08-15 12:00:00,430.6
500KV-BYQ-003,2024-08-15 12:00:00,471.8
500KV-BYQ-001,2024-08-15 18:00:00,459.2
500KV-BYQ-002,2024-08-15 18:00:00,433.0
500KV-BYQ-003,2024-08-15 18:00:00,470.3
500KV-BYQ-001,2024-08-16 00:00:00,458.2
500KV-BYQ-002,2024-08-16 00:00:00,429.8
500KV-BYQ-003,2024-08-16 00:00:00,467.5
500KV-BYQ-001,2024-08-16 06:00:00,457.9
500KV-BYQ-002,2024-08-16 06:00:00,428.8
500KV-BYQ-003,2024-08-16 06:00:00,469.4
500KV-BYQ-001,2024-08-16 12:00:00,457.2
500KV-BYQ-002,2024-08-16 12:00:00,424.4
500KV-BYQ-003,2024-08-16 12:00:00,467.6
500KV-BYQ-001,2024-08-16 18:00:00,453.3
500KV-BYQ-002,2024-08-16 18:00:00,421.9
500KV-BYQ-003,2024-08-16 18:00:00,470.4
500KV-BYQ-001,2024-08-17 00:00:00,449.6
500KV-BYQ-002,2024-08-17 00:00:00,420.8
500KV-BYQ-003,2024-08-17 00:00:00,465.4
500KV-BYQ-001,2024-08-17 06:00:00,451.0
500KV-BYQ-002,2024-08-17 06:00:00,420.8
500KV-BYQ-003,2024-08-17 06:00:00,460.9
500KV-BYQ-001,2024-08-17 12:00:00,454.1
500KV-BYQ-002,2024-08-17 12:00:00,420.2
500KV-BYQ-003,2024-08-17 12:00:00,458.2
500KV-BYQ-001,2024-08-17 18:00:00,450.9
500KV-BYQ-002,2024-08-17 18:00:00,423.4
500KV-BYQ-003,2024-08-17 18:00:00,460.1
500KV-BYQ-001,2024-08-18 00:00:00,451.9
500KV-BYQ-002,2024-08-18 00:00:00,427.7
500KV-BYQ-003,2024-08-18 00:00:00,460.6
500KV-BYQ-001,2024-08-18 06:00:00,448.6
500KV-BYQ-002,2024-08-18 06:00:00,429.4
500KV-BYQ-003,2024-08-18 06:00:00,458.8
500KV-BYQ-001,2024-08-18 12:00:00,445.3
500KV-BYQ-002,2024-08-18 12:00:00,430.5
500KV-BYQ-003,2024-08-18 12:00:00,460.3
500KV-BYQ-001,2024-08-18 18:00:00,448.1
500KV-BYQ-002,2024-08-18 18:00:00,432.3
500KV-BYQ-003,2024-08-18 18:00:00,461.0
500KV-BYQ-001,2024-08-19 00:00:00,444.9
500KV-BYQ-002,2024-08-19 00:00:00,433.8
500KV-BYQ-003,2024-08-19 00:00:00,466.0
500KV-BYQ-001,2024-08-19 06:00:00,443.1
500KV-BYQ-002,2024-08-19 06:00:00,438.6
500KV-BYQ-003,2024-08-19 06:00:00,468.3
500KV-BYQ-001,2024-08-19 12:00:00,439.1
500KV-BYQ-002,2024-08-19 12:00:00,437.3
500KV-BYQ-003,2024-08-19 12:00:00,464.4
500KV-BYQ-001,2024-08-19 18:00:00,441.1
500KV-BYQ-002,2024-08-19 18:00:00,435.0
500KV-BYQ-003,2024-08-19 18:00:00,463.8
500KV-BYQ-001,2024-08-20 00:00:00,437.0
500KV-BYQ-002,2024-08-20 00:00:00,432.6
500KV-BYQ-003,2024-08-20 00:00:00,459.3
500KV-BYQ-001,2024-08-20 06:00:00,440.3
500KV-BYQ-002,2024-08-20 06:00:00,433.9
500KV-BYQ-003,2024-08-20 06:00:00,457.9
500KV-BYQ-001,2024-08-20 12:00:00,442.3
500KV-BYQ-002,2024-08-20 12:00:00,431.6
500KV-BYQ-003,2024-08-20 12:00:00,453.7
500KV-BYQ-001,2024-08-20 18:00:00,446.4
500KV-BYQ-002,2024-08-20 18:00:00,433.9
500KV-BYQ-003,2024-08-20 18:00:00,455.1
500KV-BYQ-001,2024-08-21 00:00:00,447.7
500KV-BYQ-002,2024-08-21 00:00:00,438.9
500KV-BYQ-003,2024-08-21 00:00:00,455.8
500KV-BYQ-001,2024-08-21 06:00:00,451.4
500KV-BYQ-002,2024-08-21 06:00:00,438.7
500KV-BYQ-003,2024-08-21 06:00:00,453.6
500KV-BYQ-001,2024-08-21 12:00:00,448.6
500KV-BYQ-002,2024-08-21 12:00:00,435.6
500KV-BYQ-003,2024-08-21 12:00:00,452.6
500KV-BYQ-001,2024-08-21 18:00:00,444.6
500KV-BYQ-002,2024-08-21 18:00:00,436.1
500KV-BYQ-003,2024-08-21 18:00:00,452.7
500KV-BYQ-001,2024-08-22 00:00:00,441.2
500KV-BYQ-002,2024-08-22 00:00:00,436.6
500KV-BYQ-003,2024-08-22 00:00:00,447.8
500KV-BYQ-001,2024-08-22 06:00:00,436.8
500KV-BYQ-002,2024-08-22 06:00:00,439.6
500KV-BYQ-003,2024-08-22 06:00:00,443.4
500KV-BYQ-001,2024-08-22 12:00:00,434.2
500KV-BYQ-002,2024-08-22 12:00:00,442.2
500KV-BYQ-003,2024-08-22 12:00:00,440.5
500KV-BYQ-001,2024-08-22 18:00:00,437.9
500KV-BYQ-002,2024-08-22 18:00:00,444.0
