变压器资产ID,产生时间（15秒）,相别,有功电流（A）,有功功率（MW）,无功功率（MW）,负载率（%）,功率因数,开关档位
500KV-BYQ-003,2024-06-01 04:27:00,A,1231.0,429.7,83.9,69.2,0.93,5
500KV-BYQ-003,2024-06-01 04:27:00,B,1309.3,444.0,92.0,66.3,0.95,5
500KV-BYQ-003,2024-06-01 04:27:00,C,1291.7,416.5,93.3,66.6,0.91,5
500KV-BYQ-001,2024-06-01 04:28:00,A,1258.0,421.5,86.5,72.9,0.93,5
500KV-BYQ-001,2024-06-01 04:28:00,B,1238.5,427.1,82.5,70.4,0.91,5
500KV-BYQ-001,2024-06-01 04:28:00,C,1269.2,444.4,82.5,71.1,0.91,5
500KV-BYQ-002,2024-06-01 04:28:00,A,1192.6,424.4,89.0,74.4,0.91,3
500KV-BYQ-002,2024-06-01 04:28:00,B,1310.5,404.9,82.9,67.6,0.94,3
500KV-BYQ-002,2024-06-01 04:28:00,C,1278.7,443.3,88.4,71.5,0.93,3
500KV-BYQ-003,2024-06-01 04:28:00,A,1296.7,431.4,91.7,74.7,0.92,1
500KV-BYQ-003,2024-06-01 04:28:00,B,1196.0,436.6,81.1,68.8,0.94,1
500KV-BYQ-003,2024-06-01 04:28:00,C,1247.1,396.6,93.9,69.8,0.91,1
500KV-BYQ-001,2024-06-01 04:29:00,A,1226.3,401.4,86.4,67.0,0.91,1
500KV-BYQ-001,2024-06-01 04:29:00,B,1255.6,439.7,82.3,74.3,0.93,1
500KV-BYQ-001,2024-06-01 04:29:00,C,1277.1,407.3,83.4,72.4,0.9,1
500KV-BYQ-002,2024-06-01 04:29:00,A,1295.6,419.0,93.1,70.1,0.95,5
500KV-BYQ-002,2024-06-01 04:29:00,B,1190.9,450.3,91.5,66.9,0.93,5
500KV-BYQ-002,2024-06-01 04:29:00,C,1236.4,404.7,91.4,64.9,0.94,5
500KV-BYQ-003,2024-06-01 04:29:00,A,1263.5,425.9,81.0,74.0,0.94,4
500KV-BYQ-003,2024-06-01 04:29:00,B,1231.9,398.8,84.7,72.7,0.9,4
500KV-BYQ-003,2024-06-01 04:29:00,C,1237.2,427.6,84.8,71.8,0.93,4
500KV-BYQ-001,2024-06-01 04:30:00,A,1224.7,428.2,94.0,72.2,0.94,5
500KV-BYQ-001,2024-06-01 04:30:00,B,1227.3,409.7,83.9,66.0,0.92,5
500KV-BYQ-001,2024-06-01 04:30:00,C,1208.4,411.2,93.4,70.6,0.93,5
500KV-BYQ-002,2024-06-01 04:30:00,A,1234.9,408.7,82.8,72.4,0.95,1
500KV-BYQ-002,2024-06-01 04:30:00,B,1200.7,403.5,87.7,70.3,0.93,1
500KV-BYQ-002,2024-06-01 04:30:00,C,1217.5,442.3,80.2,74.1,0.93,1
500KV-BYQ-003,2024-06-01 04:30:00,A,1268.1,423.2,85.8,69.5,0.92,5
500KV-BYQ-003,2024-06-01 04:30:00,B,1260.7,448.5,86.6,71.1,0.93,5
500KV-BYQ-003,2024-06-01 04:30:00,C,1231.4,437.0,92.2,66.0,0.93,5
500KV-BYQ-001,2024-06-01 04:31:00,A,1222.7,396.6,82.7,67.5,0.9,5
500KV-BYQ-001,2024-06-01 04:31:00,B,1251.1,437.9,83.9,68.3,0.92,5
500KV-BYQ-001,2024-06-01 04:31:00,C,1194.8,434.4,83.7,70.4,0.93,5
500KV-BYQ-002,2024-06-01 04:31:00,A,1229.8,422.0,89.1,74.8,0.93,4
500KV-BYQ-002,2024-06-01 04:31:00,B,1216.7,407.5,81.1,67.8,0.94,4
500KV-BYQ-002,2024-06-01 04:31:00,C,1246.1,409.0,91.5,73.8,0.94,4
500KV-BYQ-003,2024-06-01 04:31:00,A,1212.4,426.8,91.2,69.4,0.92,1
500KV-BYQ-003,2024-06-01 04:31:00,B,1219.6,440.8,82.7,74.8,0.94,1
500KV-BYQ-003,2024-06-01 04:31:00,C,1231.5,397.8,93.5,65.5,0.93,1
500KV-BYQ-001,2024-06-01 04:32:00,A,1256.1,436.6,90.1,66.8,0.94,5
500KV-BYQ-001,2024-06-01 04:32:00,B,1280.9,412.7,95.1,66.2,0.94,5
500KV-BYQ-001,2024-06-01 04:32:00,C,1186.6,438.3,85.2,73.1,0.95,5
500KV-BYQ-002,2024-06-01 04:32:00,A,1237.4,416.0,93.5,68.6,0.91,4
500KV-BYQ-002,2024-06-01 04:32:00,B,1193.7,431.9,84.5,75.6,0.91,4
500KV-BYQ-002,2024-06-01 04:32:00,C,1263.0,429.5,84.7,66.1,0.91,4
500KV-BYQ-003,2024-06-01 04:32:00,A,1221.2,415.6,89.2,68.9,0.91,5
500KV-BYQ-003,2024-06-01 04:32:00,B,1249.3,444.7,88.3,68.9,0.92,5
500KV-BYQ-003,2024-06-01 04:32:00,C,1298.5,418.5,88.4,72.7,0.92,5
500KV-BYQ-001,2024-06-01 04:33:00,A,1281.7,442.0,93.9,65.7,0.95,3
500KV-BYQ-001,2024-06-01 04:33:00,B,1267.7,420.4,89.8,67.9,0.92,3
500KV-BYQ-001,2024-06-01 04:33:00,C,1199.0,438.7,92.2,73.0,0.9,3
500KV-BYQ-002,2024-06-01 04:33:00,A,1240.1,409.1,88.9,71.3,0.95,5
500KV-BYQ-002,2024-06-01 04:33:00,B,1266.7,404.3,85.5,69.4,0.91,5
500KV-BYQ-002,2024-06-01 04:33:00,C,1288.8,401.2,84.5,66.2,0.95,5
500KV-BYQ-003,2024-06-01 04:33:00,A,1273.9,429.5,90.3,72.8,0.95,4
500KV-BYQ-003,2024-06-01 04:33:00,B,1185.0,428.0,86.3,65.3,0.93,4
500KV-BYQ-003,2024-06-01 04:33:00,C,1219.4,399.1,80.9,70.4,0.93,4
500KV-BYQ-001,2024-06-01 04:34:00,A,1264.1,427.5,87.4,74.5,0.95,2
500KV-BYQ-001,2024-06-01 04:34:00,B,1283.6,424.6,89.8,70.7,0.93,2
500KV-BYQ-001,2024-06-01 04:34:00,C,1216.5,425.7,90.5,72.1,0.91,2
500KV-BYQ-002,2024-06-01 04:34:00,A,1210.0,407.3,89.1,70.3,0.91,5
500KV-BYQ-002,2024-06-01 04:34:00,B,1245.1,440.2,84.7,65.5,0.91,5
500KV-BYQ-002,2024-06-01 04:34:00,C,1267.4,434.5,84.0,69.2,0.94,5
500KV-BYQ-003,2024-06-01 04:34:00,A,1215.9,435.7,88.1,73.9,0.91,1
500KV-BYQ-003,2024-06-01 04:34:00,B,1254.8,412.9,86.5,68.8,0.92,1
500KV-BYQ-003,2024-06-01 04:34:00,C,1257.4,435.2,81.5,72.4,0.93,1
500KV-BYQ-001,2024-06-01 04:35:00,A,1216.8,405.2,84.7,65.9,0.95,3
500KV-BYQ-001,2024-06-01 04:35:00,B,1208.3,428.3,89.0,72.5,0.91,3
500KV-BYQ-001,2024-06-01 04:35:00,C,1245.1,445.7,87.6,66.5,0.93,3
500KV-BYQ-002,2024-06-01 04:35:00,A,1219.4,433.6,89.6,73.4,0.92,3
500KV-BYQ-002,2024-06-01 04:35:00,B,1246.3,419.9,83.1,72.4,0.94,3
500KV-BYQ-002,2024-06-01 04:35:00,C,1310.6,414.9,82.2,69.5,0.93,3
500KV-BYQ-003,2024-06-01 04:35:00,A,1250.7,440.6,81.6,68.6,0.94,3
500KV-BYQ-003,2024-06-01 04:35:00,B,1266.5,398.6,87.3,67.5,0.92,3
500KV-BYQ-003,2024-06-01 04:35:00,C,1208.4,407.7,81.1,72.0,0.94,3
500KV-BYQ-001,2024-06-01 04:36:00,A,1216.1,441.6,89.5,71.1,0.93,2
500KV-BYQ-001,2024-06-01 04:36:00,B,1188.9,438.9,85.3,73.8,0.9,2
500KV-BYQ-001,2024-06-01 04:36:00,C,1244.2,432.3,85.2,67.6,0.9,2
500KV-BYQ-002,2024-06-01 04:36:00,A,1250.6,413.2,86.2,68.3,0.91,4
500KV-BYQ-002,2024-06-01 04:36:00,B,1249.6,409.3,84.7,69.0,0.93,4
500KV-BYQ-002,2024-06-01 04:36:00,C,1196.0,401.4,96.1,72.5,0.91,4
500KV-BYQ-003,2024-06-01 04:36:00,A,1238.8,412.8,92.0,64.5,0.91,5
500KV-BYQ-003,2024-06-01 04:36:00,B,1253.3,451.0,88.2,67.9,0.95,5
500KV-BYQ-003,2024-06-01 04:36:00,C,1267.0,400.0,83.1,76.2,0.93,5
500KV-BYQ-001,2024-06-01 04:37:00,A,1290.1,413.4,88.1,71.9,0.91,1
500KV-BYQ-001,2024-06-01 04:37:00,B,1307.0,438.0,89.6,75.2,0.95,1
500KV-BYQ-001,2024-06-01 04:37:00,C,1278.5,435.0,88.3,65.7,0.91,1
500KV-BYQ-002,2024-06-01 04:37:00,A,1259.6,441.9,83.8,74.9,0.94,1
500KV-BYQ-002,2024-06-01 04:37:00,B,1288.5,426.8,88.8,75.5,0.95,1
500KV-BYQ-002,2024-06-01 04:37:00,C,1246.0,425.9,89.5,68.3,0.91,1
500KV-BYQ-003,2024-06-01 04:37:00,A,1281.4,413.3,93.1,70.9,0.91,2
500KV-BYQ-003,2024-06-01 04:37:00,B,1223.7,424.5,84.0,66.4,0.94,2
500KV-BYQ-003,2024-06-01 04:37:00,C,1271.9,430.9,81.0,73.7,0.92,2
500KV-BYQ-001,2024-06-01 04:38:00,A,1240.4,415.1,83.6,69.6,0.9,1
500KV-BYQ-001,2024-06-01 04:38:00,B,1307.1,433.9,83.6,66.7,0.92,1
500KV-BYQ-001,2024-06-01 04:38:00,C,1232.8,416.3,88.0,64.8,0.92,1
500KV-BYQ-002,2024-06-01 04:38:00,A,1259.9,429.8,93.7,71.4,0.94,2
500KV-BYQ-002,2024-06-01 04:38:00,B,1182.5,419.7,93.4,71.8,0.94,2
500KV-BYQ-002,2024-06-01 04:38:00,C,1215.7,423.7,89.8,70.8,0.94,2
500KV-BYQ-003,2024-06-01 04:38:00,A,1245.0,414.4,91.3,66.0,0.93,5
500KV-BYQ-003,2024-06-01 04:38:00,B,1199.3,425.7,84.9,74.7,0.92,5
500KV-BYQ-003,2024-06-01 04:38:00,C,1223.7,407.3,91.4,72.0,0.92,5
500KV-BYQ-001,2024-06-01 04:39:00,A,1229.1,435.4,89.9,73.3,0.91,1
500KV-BYQ-001,2024-06-01 04:39:00,B,1290.7,416.2,89.9,68.7,0.94,1
500KV-BYQ-001,2024-06-01 04:39:00,C,1298.1,435.9,82.5,67.6,0.94,1
500KV-BYQ-002,2024-06-01 04:39:00,A,1218.6,408.0,87.4,72.2,0.91,4
500KV-BYQ-002,2024-06-01 04:39:00,B,1222.2,411.9,86.4,67.6,0.92,4
500KV-BYQ-002,2024-06-01 04:39:00,C,1268.7,410.7,88.0,70.5,0.93,4
500KV-BYQ-003,2024-06-01 04:39:00,A,1253.9,415.3,87.8,68.2,0.92,1
500KV-BYQ-003,2024-06-01 04:39:00,B,1245.7,408.5,91.1,67.0,0.93,1
500KV-BYQ-003,2024-06-01 04:39:00,C,1311.3,433.5,84.4,73.8,0.91,1
500KV-BYQ-001,2024-06-01 04:40:00,A,1277.2,450.9,79.8,67.7,0.91,1
500KV-BYQ-001,2024-06-01 04:40:00,B,1260.3,406.3,92.6,70.6,0.95,1
500KV-BYQ-001,2024-06-01 04:40:00,C,1232.8,436.6,84.8,69.5,0.94,1
500KV-BYQ-002,2024-06-01 04:40:00,A,1262.0,413.0,85.9,66.5,0.9,2
500KV-BYQ-002,2024-06-01 04:40:00,B,1312.3,409.4,93.0,66.1,0.92,2
500KV-BYQ-002,2024-06-01 04:40:00,C,1255.9,415.1,82.4,69.4,0.92,2
500KV-BYQ-003,2024-06-01 04:40:00,A,1237.9,430.6,81.7,70.1,0.95,5
500KV-BYQ-003,2024-06-01 04:40:00,B,1222.9,420.7,79.9,68.2,0.91,5
500KV-BYQ-003,2024-06-01 04:40:00,C,1234.7,424.6,82.9,72.3,0.91,5
500KV-BYQ-001,2024-06-01 04:41:00,A,1307.6,425.8,80.7,68.4,0.95,2
500KV-BYQ-001,2024-06-01 04:41:00,B,1218.9,435.1,91.7,68.5,0.93,2
500KV-BYQ-001,2024-06-01 04:41:00,C,1319.2,399.0,92.1,68.9,0.91,2
500KV-BYQ-002,2024-06-01 04:41:00,A,1256.4,453.4,80.2,69.2,0.93,4
500KV-BYQ-002,2024-06-01 04:41:00,B,1248.5,401.7,89.9,70.8,0.95,4
500KV-BYQ-002,2024-06-01 04:41:00,C,1244.5,426.4,83.0,71.7,0.91,4
500KV-BYQ-003,2024-06-01 04:41:00,A,1238.1,436.7,85.7,69.3,0.91,1
500KV-BYQ-003,2024-06-01 04:41:00,B,1276.8,430.0,95.2,75.9,0.94,1
500KV-BYQ-003,2024-06-01 04:41:00,C,1292.3,422.2,91.9,64.9,0.91,1
500KV-BYQ-001,2024-06-01 04:42:00,A,1231.5,417.9,87.8,67.0,0.94,2
500KV-BYQ-001,2024-06-01 04:42:00,B,1215.4,401.5,83.6,72.9,0.95,2
500KV-BYQ-001,2024-06-01 04:42:00,C,1233.7,433.6,88.8,70.9,0.92,2
500KV-BYQ-002,2024-06-01 04:42:00,A,1244.3,446.8,87.6,69.9,0.95,5
500KV-BYQ-002,2024-06-01 04:42:00,B,1273.2,407.2,91.1,67.6,0.92,5
500KV-BYQ-002,2024-06-01 04:42:00,C,1253.6,420.9,88.7,71.3,0.92,5
500KV-BYQ-003,2024-06-01 04:42:00,A,1253.3,408.1,85.6,66.9,0.91,4
500KV-BYQ-003,2024-06-01 04:42:00,B,1221.3,442.0,85.7,66.7,0.95,4
500KV-BYQ-003,2024-06-01 04:42:00,C,1228.1,402.8,87.9,72.7,0.94,4
500KV-BYQ-001,2024-06-01 04:43:00,A,1269.0,427.6,82.6,72.5,0.94,5
500KV-BYQ-001,2024-06-01 04:43:00,B,1280.5,444.7,79.2,72.7,0.95,5
500KV-BYQ-001,2024-06-01 04:43:00,C,1216.0,438.2,89.1,70.2,0.92,5
500KV-BYQ-002,2024-06-01 04:43:00,A,1236.3,417.0,81.3,67.3,0.95,3
500KV-BYQ-002,2024-06-01 04:43:00,B,1308.0,423.5,88.2,65.2,0.91,3
500KV-BYQ-002,2024-06-01 04:43:00,C,1211.6,423.3,92.5,67.8,0.91,3
500KV-BYQ-003,2024-06-01 04:43:00,A,1279.6,420.3,84.5,68.0,0.93,5
500KV-BYQ-003,2024-06-01 04:43:00,B,1275.6,416.0,82.9,65.7,0.92,5
500KV-BYQ-003,2024-06-01 04:43:00,C,1304.5,404.5,94.1,69.3,0.9,5
500KV-BYQ-001,2024-06-01 04:44:00,A,1295.2,453.0,84.6,69.5,0.93,3
500KV-BYQ-001,2024-06-01 04:44:00,B,1251.1,415.2,89.8,69.7,0.93,3
500KV-BYQ-001,2024-06-01 04:44:00,C,1252.0,405.7,84.4,70.2,0.91,3
500KV-BYQ-002,2024-06-01 04:44:00,A,1262.0,434.1,78.6,73.2,0.92,3
500KV-BYQ-002,2024-06-01 04:44:00,B,1194.5,418.5,80.8,66.5,0.94,3
500KV-BYQ-002,2024-06-01 04:44:00,C,1247.5,399.1,91.5,73.1,0.9,3
500KV-BYQ-003,2024-06-01 04:44:00,A,1227.4,402.5,95.8,74.1,0.92,4
500KV-BYQ-003,2024-06-01 04:44:00,B,1291.2,434.7,87.3,66.1,0.92,4
500KV-BYQ-003,2024-06-01 04:44:00,C,1265.1,446.6,85.0,68.1,0.95,4
500KV-BYQ-001,2024-06-01 04:45:00,A,1255.9,438.3,87.1,69.6,0.92,2
500KV-BYQ-001,2024-06-01 04:45:00,B,1299.5,415.3,90.8,71.6,0.93,2
500KV-BYQ-001,2024-06-01 04:45:00,C,1281.8,413.3,87.6,66.7,0.93,2
500KV-BYQ-002,2024-06-01 04:45:00,A,1264.5,444.6,87.8,73.8,0.91,5
500KV-BYQ-002,2024-06-01 04:45:00,B,1268.7,408.4,81.8,73.1,0.94,5
500KV-BYQ-002,2024-06-01 04:45:00,C,1283.8,410.7,83.0,69.1,0.93,5
500KV-BYQ-003,2024-06-01 04:45:00,A,1235.2,416.5,88.4,71.7,0.93,2
500KV-BYQ-003,2024-06-01 04:45:00,B,1223.0,446.1,87.7,70.3,0.95,2
500KV-BYQ-003,2024-06-01 04:45:00,C,1212.6,401.2,92.2,69.7,0.92,2
500KV-BYQ-001,2024-06-01 04:46:00,A,1300.8,435.8,92.3,64.2,0.92,3
500KV-BYQ-001,2024-06-01 04:46:00,B,1254.5,415.9,83.7,73.8,0.92,3
500KV-BYQ-001,2024-06-01 04:46:00,C,1268.6,401.7,86.5,67.7,0.9,3
500KV-BYQ-002,2024-06-01 04:46:00,A,1189.1,421.0,92.1,75.1,0.93,5
500KV-BYQ-002,2024-06-01 04:46:00,B,1226.4,404.1,87.3,67.2,0.92,5
500KV-BYQ-002,2024-06-01 04:46:00,C,1223.4,416.4,81.9,67.9,0.93,5
500KV-BYQ-003,2024-06-01 04:46:00,A,1190.6,424.5,89.5,65.6,0.93,2
500KV-BYQ-003,2024-06-01 04:46:00,B,1248.0,434.2,83.2,67.0,0.91,2
500KV-BYQ-003,2024-06-01 04:46:00,C,1299.1,418.0,82.7,68.2,0.94,2
500KV-BYQ-001,2024-06-01 04:47:00,A,1287.9,439.3,89.2,68.8,0.92,2
500KV-BYQ-001,2024-06-01 04:47:00,B,1292.9,409.3,94.8,76.4,0.93,2
500KV-BYQ-001,2024-06-01 04:47:00,C,1292.7,440.3,89.0,71.7,0.94,2
500KV-BYQ-002,2024-06-01 04:47:00,A,1235.5,418.0,83.8,68.6,0.93,2
500KV-BYQ-002,2024-06-01 04:47:00,B,1227.2,424.3,90.9,73.1,0.94,2
500KV-BYQ-002,2024-06-01 04:47:00,C,1300.8,425.2,87.7,75.6,0.92,2
500KV-BYQ-003,2024-06-01 04:47:00,A,1318.0,447.1,81.6,75.2,0.91,4
500KV-BYQ-003,2024-06-01 04:47:00,B,1202.1,411.9,94.7,66.1,0.94,4
500KV-BYQ-003,2024-06-01 04:47:00,C,1249.2,416.5,92.4,68.1,0.95,4
500KV-BYQ-001,2024-06-01 04:48:00,A,1280.0,407.3,87.1,68.6,0.92,2
500KV-BYQ-001,2024-06-01 04:48:00,B,1269.6,400.1,91.9,68.1,0.91,2
500KV-BYQ-001,2024-06-01 04:48:00,C,1288.8,421.8,86.2,72.6,0.92,2
500KV-BYQ-002,2024-06-01 04:48:00,A,1214.4,431.7,90.3,70.6,0.93,2
500KV-BYQ-002,2024-06-01 04:48:00,B,1239.4,408.6,83.4,66.3,0.92,2
500KV-BYQ-002,2024-06-01 04:48:00,C,1287.6,413.6,85.0,65.6,0.93,2
500KV-BYQ-003,2024-06-01 04:48:00,A,1192.1,402.9,92.1,70.9,0.94,3
500KV-BYQ-003,2024-06-01 04:48:00,B,1285.3,430.2,90.7,73.4,0.91,3
500KV-BYQ-003,2024-06-01 04:48:00,C,1272.7,414.7,92.8,66.9,0.91,3
500KV-BYQ-001,2024-06-01 04:49:00,A,1257.7,427.2,92.6,65.6,0.95,3
500KV-BYQ-001,2024-06-01 04:49:00,B,1220.9,447.3,81.4,65.5,0.92,3
500KV-BYQ-001,2024-06-01 04:49:00,C,1287.1,413.3,88.3,74.1,0.9,3
500KV-BYQ-002,2024-06-01 04:49:00,A,1192.6,397.2,84.7,67.8,0.91,2
500KV-BYQ-002,2024-06-01 04:49:00,B,1236.5,439.5,93.3,71.2,0.94,2
500KV-BYQ-002,2024-06-01 04:49:00,C,1220.6,401.1,87.3,68.9,0.94,2
500KV-BYQ-003,2024-06-01 04:49:00,A,1248.1,423.6,92.2,73.3,0.9,5
500KV-BYQ-003,2024-06-01 04:49:00,B,1256.1,432.8,81.8,65.7,0.94,5
500KV-BYQ-003,2024-06-01 04:49:00,C,1260.2,403.7,89.2,69.7,0.93,5
500KV-BYQ-001,2024-06-01 04:50:00,A,1283.7,412.3,91.3,74.1,0.95,4
500KV-BYQ-001,2024-06-01 04:50:00,B,1198.6,428.4,84.2,67.1,0.91,4
500KV-BYQ-001,2024-06-01 04:50:00,C,1193.1,423.4,94.9,69.9,0.92,4
500KV-BYQ-002,2024-06-01 04:50:00,A,1264.7,399.0,90.2,71.0,0.91,4
500KV-BYQ-002,2024-06-01 04:50:00,B,1306.9,432.8,90.6,73.8,0.91,4
500KV-BYQ-002,2024-06-01 04:50:00,C,1225.2,406.8,88.0,71.1,0.92,4
500KV-BYQ-003,2024-06-01 04:50:00,A,1256.4,409.2,89.9,68.6,0.92,2
500KV-BYQ-003,2024-06-01 04:50:00,B,1245.8,406.4,86.2,74.5,0.91,2
500KV-BYQ-003,2024-06-01 04:50:00,C,1271.0,418.0,80.8,67.9,0.94,2
500KV-BYQ-001,2024-06-01 04:51:00,A,1232.6,395.7,93.2,66.7,0.92,4
500KV-BYQ-001,2024-06-01 04:51:00,B,1241.9,430.5,87.9,67.4,0.93,4
500KV-BYQ-001,2024-06-01 04:51:00,C,1246.1,428.2,92.0,74.9,0.94,4
500KV-BYQ-002,2024-06-01 04:51:00,A,1260.8,406.3,86.8,70.3,0.92,3
500KV-BYQ-002,2024-06-01 04:51:00,B,1295.3,436.8,79.8,74.8,0.95,3
500KV-BYQ-002,2024-06-01 04:51:00,C,1260.7,395.2,82.1,68.3,0.93,3
500KV-BYQ-003,2024-06-01 04:51:00,A,1243.9,400.9,89.2,67.3,0.91,4
500KV-BYQ-003,2024-06-01 04:51:00,B,1195.1,422.5,91.4,71.8,0.9,4
500KV-BYQ-003,2024-06-01 04:51:00,C,1209.9,406.0,93.3,71.0,0.91,4
500KV-BYQ-001,2024-06-01 04:52:00,A,1264.6,426.9,89.5,69.1,0.93,4
500KV-BYQ-001,2024-06-01 04:52:00,B,1234.0,396.9,92.0,71.4,0.94,4
500KV-BYQ-001,2024-06-01 04:52:00,C,1219.1,440.4,83.7,68.0,0.9,4
500KV-BYQ-002,2024-06-01 04:52:00,A,1214.6,435.6,90.8,69.7,0.95,5
500KV-BYQ-002,2024-06-01 04:52:00,B,1259.6,409.0,95.3,70.3,0.94,5
500KV-BYQ-002,2024-06-01 04:52:00,C,1252.0,445.7,83.8,64.9,0.93,5
500KV-BYQ-003,2024-06-01 04:52:00,A,1318.5,441.7,88.4,67.9,0.94,5
500KV-BYQ-003,2024-06-01 04:52:00,B,1288.5,430.0,83.2,71.1,0.91,5
500KV-BYQ-003,2024-06-01 04:52:00,C,1197.6,437.1,93.6,69.3,0.9,5
500KV-BYQ-001,2024-06-01 04:53:00,A,1289.5,425.3,93.7,66.0,0.95,4
500KV-BYQ-001,2024-06-01 04:53:00,B,1233.6,407.5,92.6,66.4,0.92,4
500KV-BYQ-001,2024-06-01 04:53:00,C,1199.5,435.1,83.3,67.7,0.94,4
500KV-BYQ-002,2024-06-01 04:53:00,A,1179.0,434.4,81.2,73.3,0.92,5
500KV-BYQ-002,2024-06-01 04:53:00,B,1302.3,417.1,85.9,67.7,0.95,5
500KV-BYQ-002,2024-06-01 04:53:00,C,1248.8,424.7,87.0,73.2,0.95,5
500KV-BYQ-003,2024-06-01 04:53:00,A,1192.3,411.1,95.3,71.2,0.93,3
500KV-BYQ-003,2024-06-01 04:53:00,B,1269.4,442.8,92.6,72.1,0.94,3
500KV-BYQ-003,2024-06-01 04:53:00,C,1284.1,407.7,86.1,72.7,0.92,3
500KV-BYQ-001,2024-06-01 04:54:00,A,1286.1,417.0,93.7,72.1,0.92,4
500KV-BYQ-001,2024-06-01 04:54:00,B,1275.7,409.3,89.6,71.3,0.91,4
500KV-BYQ-001,2024-06-01 04:54:00,C,1288.0,445.9,88.2,73.6,0.94,4
500KV-BYQ-002,2024-06-01 04:54:00,A,1303.0,455.7,88.0,71.4,0.93,3
500KV-BYQ-002,2024-06-01 04:54:00,B,1191.1,430.2,94.1,75.1,0.92,3
500KV-BYQ-002,2024-06-01 04:54:00,C,1291.2,434.5,81.1,70.7,0.9,3
500KV-BYQ-003,2024-06-01 04:54:00,A,1283.1,448.1,80.3,72.1,0.9,2
500KV-BYQ-003,2024-06-01 04:54:00,B,1221.5,426.0,81.5,73.5,0.93,2
500KV-BYQ-003,2024-06-01 04:54:00,C,1284.8,435.7,94.5,70.0,0.94,2
500KV-BYQ-001,2024-06-01 04:55:00,A,1272.4,426.9,83.6,67.7,0.92,4
500KV-BYQ-001,2024-06-01 04:55:00,B,1234.5,404.3,86.9,65.2,0.9,4
500KV-BYQ-001,2024-06-01 04:55:00,C,1283.4,411.7,81.8,69.2,0.94,4
500KV-BYQ-002,2024-06-01 04:55:00,A,1243.0,424.2,87.6,73.4,0.91,3
500KV-BYQ-002,2024-06-01 04:55:00,B,1294.0,425.7,85.4,69.9,0.95,3
500KV-BYQ-002,2024-06-01 04:55:00,C,1270.1,446.3,86.6,66.5,0.92,3
500KV-BYQ-003,2024-06-01 04:55:00,A,1225.8,427.1,89.5,64.1,0.92,1
500KV-BYQ-003,2024-06-01 04:55:00,B,1194.0,431.1,91.0,65.2,0.91,1
500KV-BYQ-003,2024-06-01 04:55:00,C,1278.9,434.3,88.5,68.4,0.91,1
500KV-BYQ-001,2024-06-01 04:56:00,A,1286.0,439.1,81.1,64.6,0.9,5
500KV-BYQ-001,2024-06-01 04:56:00,B,1304.8,418.9,94.8,72.5,0.93,5
500KV-BYQ-001,2024-06-01 04:56:00,C,1229.8,397.6,79.3,67.7,0.91,5
500KV-BYQ-002,2024-06-01 04:56:00,A,1242.7,408.6,92.9,68.2,0.91,3
500KV-BYQ-002,2024-06-01 04:56:00,B,1262.8,443.5,84.9,71.8,0.92,3
500KV-BYQ-002,2024-06-01 04:56:00,C,1205.7,426.9,93.3,64.3,0.92,3
500KV-BYQ-003,2024-06-01 04:56:00,A,1202.4,418.8,80.9,71.3,0.94,5
500KV-BYQ-003,2024-06-01 04:56:00,B,1225.9,425.5,82.5,72.1,0.94,5
500KV-BYQ-003,2024-06-01 04:56:00,C,1284.1,424.5,80.1,68.6,0.93,5
500KV-BYQ-001,2024-06-01 04:57:00,A,1287.5,431.9,94.3,71.2,0.94,4
500KV-BYQ-001,2024-06-01 04:57:00,B,1239.9,434.9,92.2,71.0,0.93,4
500KV-BYQ-001,2024-06-01 04:57:00,C,1304.6,424.0,93.6,70.4,0.9,4
500KV-BYQ-002,2024-06-01 04:57:00,A,1251.9,401.1,88.8,72.0,0.9,2
500KV-BYQ-002,2024-06-01 04:57:00,B,1212.4,449.1,81.8,71.6,0.93,2
500KV-BYQ-002,2024-06-01 04:57:00,C,1301.2,437.4,90.5,64.8,0.93,2
500KV-BYQ-003,2024-06-01 04:57:00,A,1285.9,408.1,87.0,64.1,0.93,1
500KV-BYQ-003,2024-06-01 04:57:00,B,1302.3,412.0,93.2,64.1,0.93,1
500KV-BYQ-003,2024-06-01 04:57:00,C,1253.7,410.9,81.9,73.9,0.94,1
500KV-BYQ-001,2024-06-01 04:58:00,A,1301.5,403.9,85.0,67.6,0.94,2
500KV-BYQ-001,2024-06-01 04:58:00,B,1229.4,434.3,87.7,66.3,0.94,2
500KV-BYQ-001,2024-06-01 04:58:00,C,1256.8,420.3,88.3,68.5,0.91,2
500KV-BYQ-002,2024-06-01 04:58:00,A,1273.4,444.0,82.0,72.4,0.92,2
500KV-BYQ-002,2024-06-01 04:58:00,B,1202.7,433.3,95.4,68.5,0.91,2
500KV-BYQ-002,2024-06-01 04:58:00,C,1187.9,432.6,82.4,66.3,0.95,2
500KV-BYQ-003,2024-06-01 04:58:00,A,1310.9,410.6,92.4,66.2,0.91,3
500KV-BYQ-003,2024-06-01 04:58:00,B,1196.1,442.4,93.6,66.3,0.91,3
500KV-BYQ-003,2024-06-01 04:58:00,C,1235.7,413.9,83.3,69.9,0.92,3
500KV-BYQ-001,2024-06-01 04:59:00,A,1290.0,427.9,80.0,69.9,0.93,1
500KV-BYQ-001,2024-06-01 04:59:00,B,1226.1,410.9,94.1,71.3,0.94,1
