变压器资产ID,产生时间（yyyy-MM-dd HH:mm:ss）,油温点位1（℃）,油温点位2（℃）
500KV-BYQ-001,2024-07-13 04:00:00,47.0,49.5
500KV-BYQ-002,2024-07-13 04:00:00,49.4,51.4
500KV-BYQ-003,2024-07-13 04:00:00,43.1,45.9
500KV-BYQ-001,2024-07-13 05:00:00,61.3,62.9
500KV-BYQ-002,2024-07-13 05:00:00,52.6,55.6
500KV-BYQ-003,2024-07-13 05:00:00,42.6,44.6
500KV-BYQ-001,2024-07-13 06:00:00,54.5,56.9
500KV-BYQ-002,2024-07-13 06:00:00,59.4,61.3
500KV-BYQ-003,2024-07-13 06:00:00,42.8,44.6
500KV-BYQ-001,2024-07-13 07:00:00,57.1,58.2
500KV-BYQ-002,2024-07-13 07:00:00,50.8,52.3
500KV-BYQ-003,2024-07-13 07:00:00,49.2,50.3
500KV-BYQ-001,2024-07-13 08:00:00,48.4,51.0
500KV-BYQ-002,2024-07-13 08:00:00,63.3,65.2
500KV-BYQ-003,2024-07-13 08:00:00,60.4,63.1
500KV-BYQ-001,2024-07-13 09:00:00,50.1,51.8
500KV-BYQ-002,2024-07-13 09:00:00,53.4,56.0
500KV-BYQ-003,2024-07-13 09:00:00,50.9,52.8
500KV-BYQ-001,2024-07-13 10:00:00,56.3,58.5
500KV-BYQ-002,2024-07-13 10:00:00,51.3,53.7
500KV-BYQ-003,2024-07-13 10:00:00,58.9,60.9
500KV-BYQ-001,2024-07-13 11:00:00,63.6,64.9
500KV-BYQ-002,2024-07-13 11:00:00,70.5,71.5
500KV-BYQ-003,2024-07-13 11:00:00,48.8,50.8
500KV-BYQ-001,2024-07-13 12:00:00,57.8,59.4
500KV-BYQ-002,2024-07-13 12:00:00,47.0,48.7
500KV-BYQ-003,2024-07-13 12:00:00,72.0,73
500KV-BYQ-001,2024-07-13 13:00:00,70.0,72.6
500KV-BYQ-002,2024-07-13 13:00:00,66.3,69.1
500KV-BYQ-003,2024-07-13 13:00:00,63.9,66.1
500KV-BYQ-001,2024-07-13 14:00:00,51.7,52.9
500KV-BYQ-002,2024-07-13 14:00:00,49.8,52.2
500KV-BYQ-003,2024-07-13 14:00:00,50.6,52.2
500KV-BYQ-001,2024-07-13 15:00:00,48.9,51.5
500KV-BYQ-002,2024-07-13 15:00:00,65.3,66.4
500KV-BYQ-003,2024-07-13 15:00:00,64.2,65.7
500KV-BYQ-001,2024-07-13 16:00:00,61.7,64.3
500KV-BYQ-002,2024-07-13 16:00:00,59.9,61.5
500KV-BYQ-003,2024-07-13 16:00:00,65.3,68.0
500KV-BYQ-001,2024-07-13 17:00:00,55.7,56.9
500KV-BYQ-002,2024-07-13 17:00:00,59.9,61.7
500KV-BYQ-003,2024-07-13 17:00:00,69.1,71.4
500KV-BYQ-001,2024-07-13 18:00:00,49.3,52.1
500KV-BYQ-002,2024-07-13 18:00:00,51.0,53.4
500KV-BYQ-003,2024-07-13 18:00:00,59.7,62.3
500KV-BYQ-001,2024-07-13 19:00:00,50.9,53.5
500KV-BYQ-002,2024-07-13 19:00:00,52.0,53.4
500KV-BYQ-003,2024-07-13 19:00:00,53.2,55.2
500KV-BYQ-001,2024-07-13 20:00:00,55.6,58.5
500KV-BYQ-002,2024-07-13 20:00:00,50.6,52.9
500KV-BYQ-003,2024-07-13 20:00:00,64.9,67.7
500KV-BYQ-001,2024-07-13 21:00:00,65.0,66.2
500KV-BYQ-002,2024-07-13 21:00:00,56.1,58.7
500KV-BYQ-003,2024-07-13 21:00:00,56.1,58.1
500KV-BYQ-001,2024-07-13 22:00:00,58.6,60.4
500KV-BYQ-002,2024-07-13 22:00:00,67.3,68.4
500KV-BYQ-003,2024-07-13 22:00:00,67.3,70.1
500KV-BYQ-001,2024-07-13 23:00:00,61.7,63.7
500KV-BYQ-002,2024-07-13 23:00:00,47.8,49.9
500KV-BYQ-003,2024-07-13 23:00:00,61.7,64.5
500KV-BYQ-001,2024-07-14 00:00:00,58.5,60.5
500KV-BYQ-002,2024-07-14 00:00:00,60.5,63.1
500KV-BYQ-003,2024-07-14 00:00:00,53.1,54.2
500KV-BYQ-001,2024-07-14 01:00:00,66.2,67.5
500KV-BYQ-002,2024-07-14 01:00:00,53.4,55.1
500KV-BYQ-003,2024-07-14 01:00:00,49.0,50.5
500KV-BYQ-001,2024-07-14 02:00:00,65.3,67.9
500KV-BYQ-002,2024-07-14 02:00:00,51.0,52.4
500KV-BYQ-003,2024-07-14 02:00:00,48.5,51.4
500KV-BYQ-001,2024-07-14 03:00:00,66.3,68.3
500KV-BYQ-002,2024-07-14 03:00:00,56.3,58.8
500KV-BYQ-003,2024-07-14 03:00:00,60.0,61.6
500KV-BYQ-001,2024-07-14 04:00:00,56.1,58.8
500KV-BYQ-002,2024-07-14 04:00:00,50.8,53.5
500KV-BYQ-003,2024-07-14 04:00:00,57.5,60.1
500KV-BYQ-001,2024-07-14 05:00:00,63.7,66.6
500KV-BYQ-002,2024-07-14 05:00:00,52.6,54.5
500KV-BYQ-003,2024-07-14 05:00:00,60.1,61.4
500KV-BYQ-001,2024-07-14 06:00:00,49.4,50.4
500KV-BYQ-002,2024-07-14 06:00:00,51.0,54.0
500KV-BYQ-003,2024-07-14 06:00:00,60.3,61.9
500KV-BYQ-001,2024-07-14 07:00:00,43.3,46.2
500KV-BYQ-002,2024-07-14 07:00:00,54.8,57.6
500KV-BYQ-003,2024-07-14 07:00:00,56.0,58.9
500KV-BYQ-001,2024-07-14 08:00:00,52.7,54.2
500KV-BYQ-002,2024-07-14 08:00:00,51.3,53.8
500KV-BYQ-003,2024-07-14 08:00:00,66.5,68.1
500KV-BYQ-001,2024-07-14 09:00:00,50.1,52.2
500KV-BYQ-002,2024-07-14 09:00:00,56.0,57.8
500KV-BYQ-003,2024-07-14 09:00:00,64.5,66.3
500KV-BYQ-001,2024-07-14 10:00:00,56.8,59.6
500KV-BYQ-002,2024-07-14 10:00:00,50.6,53.4
500KV-BYQ-003,2024-07-14 10:00:00,48.4,51.3
500KV-BYQ-001,2024-07-14 11:00:00,52.8,54.0
500KV-BYQ-002,2024-07-14 11:00:00,52.1,54.8
500KV-BYQ-003,2024-07-14 11:00:00,46.2,48.4
500KV-BYQ-001,2024-07-14 12:00:00,59.8,60.9
500KV-BYQ-002,2024-07-14 12:00:00,62.3,65.2
500KV-BYQ-003,2024-07-14 12:00:00,65.0,66.1
500KV-BYQ-001,2024-07-14 13:00:00,66.9,68.5
500KV-BYQ-002,2024-07-14 13:00:00,70.6,73
500KV-BYQ-003,2024-07-14 13:00:00,66.3,68.4
500KV-BYQ-001,2024-07-14 14:00:00,50.5,51.9
500KV-BYQ-002,2024-07-14 14:00:00,50.7,53.2
500KV-BYQ-003,2024-07-14 14:00:00,65.8,67.0
500KV-BYQ-001,2024-07-14 15:00:00,71.2,73
500KV-BYQ-002,2024-07-14 15:00:00,57.4,58.7
500KV-BYQ-003,2024-07-14 15:00:00,58.8,61.7
500KV-BYQ-001,2024-07-14 16:00:00,54.6,55.7
500KV-BYQ-002,2024-07-14 16:00:00,70.0,72.6
500KV-BYQ-003,2024-07-14 16:00:00,62.4,64.2
500KV-BYQ-001,2024-07-14 17:00:00,52.3,53.8
500KV-BYQ-002,2024-07-14 17:00:00,71.3,73
500KV-BYQ-003,2024-07-14 17:00:00,54.4,55.6
500KV-BYQ-001,2024-07-14 18:00:00,67.3,69.6
500KV-BYQ-002,2024-07-14 18:00:00,51.2,52.8
500KV-BYQ-003,2024-07-14 18:00:00,61.0,62.6
500KV-BYQ-001,2024-07-14 19:00:00,68.5,71.0
500KV-BYQ-002,2024-07-14 19:00:00,62.0,63.2
500KV-BYQ-003,2024-07-14 19:00:00,48.4,51.1
500KV-BYQ-001,2024-07-14 20:00:00,62.4,63.4
500KV-BYQ-002,2024-07-14 20:00:00,64.0,66.4
500KV-BYQ-003,2024-07-14 20:00:00,48.4,50.5
500KV-BYQ-001,2024-07-14 21:00:00,63.5,65.5
500KV-BYQ-002,2024-07-14 21:00:00,66.2,68.1
500KV-BYQ-003,2024-07-14 21:00:00,62.1,64.7
500KV-BYQ-001,2024-07-14 22:00:00,57.9,60.4
500KV-BYQ-002,2024-07-14 22:00:00,64.1,66.6
500KV-BYQ-003,2024-07-14 22:00:00,58.2,60.4
500KV-BYQ-001,2024-07-14 23:00:00,44.4,45.7
500KV-BYQ-002,2024-07-14 23:00:00,51.8,54.6
500KV-BYQ-003,2024-07-14 23:00:00,63.6,66.4
500KV-BYQ-001,2024-07-15 00:00:00,44.4,46.9
500KV-BYQ-002,2024-07-15 00:00:00,57.3,60.2
500KV-BYQ-003,2024-07-15 00:00:00,64.9,66.3
500KV-BYQ-001,2024-07-15 01:00:00,62.9,64.1
500KV-BYQ-002,2024-07-15 01:00:00,46.6,48.4
500KV-BYQ-003,2024-07-15 01:00:00,51.8,54.4
500KV-BYQ-001,2024-07-15 02:00:00,55.1,57.7
500KV-BYQ-002,2024-07-15 02:00:00,58.4,60.0
500KV-BYQ-003,2024-07-15 02:00:00,54.5,56.7
500KV-BYQ-001,2024-07-15 03:00:00,48.5,49.6
500KV-BYQ-002,2024-07-15 03:00:00,62.5,63.6
500KV-BYQ-003,2024-07-15 03:00:00,61.5,63.6
500KV-BYQ-001,2024-07-15 04:00:00,60.8,62.9
500KV-BYQ-002,2024-07-15 04:00:00,63.5,65.5
500KV-BYQ-003,2024-07-15 04:00:00,62.7,65.3
500KV-BYQ-001,2024-07-15 05:00:00,55.0,56.6
500KV-BYQ-002,2024-07-15 05:00:00,53.7,55.3
500KV-BYQ-003,2024-07-15 05:00:00,47.1,48.5
500KV-BYQ-001,2024-07-15 06:00:00,45.8,48.2
500KV-BYQ-002,2024-07-15 06:00:00,54.7,57.7
500KV-BYQ-003,2024-07-15 06:00:00,44.0,45.1
500KV-BYQ-001,2024-07-15 07:00:00,55.8,57.4
500KV-BYQ-002,2024-07-15 07:00:00,65.8,67.5
500KV-BYQ-003,2024-07-15 07:00:00,54.1,56.7
500KV-BYQ-001,2024-07-15 08:00:00,65.9,68.0
500KV-BYQ-002,2024-07-15 08:00:00,69.0,72.0
500KV-BYQ-003,2024-07-15 08:00:00,66.6,69.5
500KV-BYQ-001,2024-07-15 09:00:00,63.3,65.3
500KV-BYQ-002,2024-07-15 09:00:00,63.4,65.1
500KV-BYQ-003,2024-07-15 09:00:00,61.3,64.0
500KV-BYQ-001,2024-07-15 10:00:00,66.7,69.2
500KV-BYQ-002,2024-07-15 10:00:00,65.5,68.5
500KV-BYQ-003,2024-07-15 10:00:00,69.3,72.3
500KV-BYQ-001,2024-07-15 11:00:00,54.3,56.4
500KV-BYQ-002,2024-07-15 11:00:00,61.9,63.6
500KV-BYQ-003,2024-07-15 11:00:00,65.9,67.6
500KV-BYQ-001,2024-07-15 12:00:00,51.4,52.4
500KV-BYQ-002,2024-07-15 12:00:00,56.6,59.0
500KV-BYQ-003,2024-07-15 12:00:00,49.4,50.5
500KV-BYQ-001,2024-07-15 13:00:00,48.6,51.0
500KV-BYQ-002,2024-07-15 13:00:00,49.0,50.4
500KV-BYQ-003,2024-07-15 13:00:00,66.4,69.1
500KV-BYQ-001,2024-07-15 14:00:00,60.3,61.8
500KV-BYQ-002,2024-07-15 14:00:00,69.7,71.6
500KV-BYQ-003,2024-07-15 14:00:00,54.7,57.2
500KV-BYQ-001,2024-07-15 15:00:00,48.4,50.9
500KV-BYQ-002,2024-07-15 15:00:00,63.7,66.4
500KV-BYQ-003,2024-07-15 15:00:00,59.4,61.0
500KV-BYQ-001,2024-07-15 16:00:00,64.6,67.5
500KV-BYQ-002,2024-07-15 16:00:00,68.1,69.7
500KV-BYQ-003,2024-07-15 16:00:00,56.9,59.5
500KV-BYQ-001,2024-07-15 17:00:00,66.7,69.4
500KV-BYQ-002,2024-07-15 17:00:00,52.7,54.1
500KV-BYQ-003,2024-07-15 17:00:00,66.2,67.7
500KV-BYQ-001,2024-07-15 18:00:00,51.8,53.5
500KV-BYQ-002,2024-07-15 18:00:00,49.2,52.0
500KV-BYQ-003,2024-07-15 18:00:00,54.2,55.6
500KV-BYQ-001,2024-07-15 19:00:00,53.0,54.1
500KV-BYQ-002,2024-07-15 19:00:00,57.6,59.8
500KV-BYQ-003,2024-07-15 19:00:00,48.3,50.4
500KV-BYQ-001,2024-07-15 20:00:00,54.2,56.4
500KV-BYQ-002,2024-07-15 20:00:00,54.4,56.3
500KV-BYQ-003,2024-07-15 20:00:00,50.8,53.2
500KV-BYQ-001,2024-07-15 21:00:00,58.0,60.4
500KV-BYQ-002,2024-07-15 21:00:00,44.5,46.4
500KV-BYQ-003,2024-07-15 21:00:00,53.7,56.3
500KV-BYQ-001,2024-07-15 22:00:00,49.2,51.9
500KV-BYQ-002,2024-07-15 22:00:00,68.3,69.6
500KV-BYQ-003,2024-07-15 22:00:00,45.7,48.0
500KV-BYQ-001,2024-07-15 23:00:00,58.4,59.5
500KV-BYQ-002,2024-07-15 23:00:00,48.5,50.4
500KV-BYQ-003,2024-07-15 23:00:00,54.1,56.5
500KV-BYQ-001,2024-07-16 00:00:00,61.5,64.2
500KV-BYQ-002,2024-07-16 00:00:00,45.5,48.2
500KV-BYQ-003,2024-07-16 00:00:00,58.8,61.2
500KV-BYQ-001,2024-07-16 01:00:00,45.5,47.7
500KV-BYQ-002,2024-07-16 01:00:00,49.1,50.3
500KV-BYQ-003,2024-07-16 01:00:00,53.3,54.3
500KV-BYQ-001,2024-07-16 02:00:00,52.0,53.7
500KV-BYQ-002,2024-07-16 02:00:00,55.5,56.9
500KV-BYQ-003,2024-07-16 02:00:00,55.6,56.8
500KV-BYQ-001,2024-07-16 03:00:00,51.0,52.3
500KV-BYQ-002,2024-07-16 03:00:00,63.0,65.1
500KV-BYQ-003,2024-07-16 03:00:00,63.5,65.5
500KV-BYQ-001,2024-07-16 04:00:00,57.3,58.8
500KV-BYQ-002,2024-07-16 04:00:00,50.8,53.5
500KV-BYQ-003,2024-07-16 04:00:00,60.4,61.7
500KV-BYQ-001,2024-07-16 05:00:00,51.1,53.7
500KV-BYQ-002,2024-07-16 05:00:00,54.2,55.9
500KV-BYQ-003,2024-07-16 05:00:00,65.8,67.8
500KV-BYQ-001,2024-07-16 06:00:00,54.5,55.8
500KV-BYQ-002,2024-07-16 06:00:00,47.5,49.0
500KV-BYQ-003,2024-07-16 06:00:00,61.0,62.6
500KV-BYQ-001,2024-07-16 07:00:00,48.3,51.1
500KV-BYQ-002,2024-07-16 07:00:00,60.8,62.0
500KV-BYQ-003,2024-07-16 07:00:00,56.4,57.9
500KV-BYQ-001,2024-07-16 08:00:00,57.2,58.5
500KV-BYQ-002,2024-07-16 08:00:00,57.7,60.6
500KV-BYQ-003,2024-07-16 08:00:00,51.3,54.2
500KV-BYQ-001,2024-07-16 09:00:00,66.2,68.3
500KV-BYQ-002,2024-07-16 09:00:00,68.4,70.1
500KV-BYQ-003,2024-07-16 09:00:00,63.0,65.8
500KV-BYQ-001,2024-07-16 10:00:00,59.9,62.7
500KV-BYQ-002,2024-07-16 10:00:00,54.3,56.7
500KV-BYQ-003,2024-07-16 10:00:00,53.3,56.2
500KV-BYQ-001,2024-07-16 11:00:00,57.3,60.0
500KV-BYQ-002,2024-07-16 11:00:00,57.5,58.6
500KV-BYQ-003,2024-07-16 11:00:00,56.6,58.0
500KV-BYQ-001,2024-07-16 12:00:00,59.7,60.8
500KV-BYQ-002,2024-07-16 12:00:00,54.7,56.0
500KV-BYQ-003,2024-07-16 12:00:00,53.1,54.7
500KV-BYQ-001,2024-07-16 13:00:00,63.5,66.3
500KV-BYQ-002,2024-07-16 13:00:00,61.3,63.7
500KV-BYQ-003,2024-07-16 13:00:00,52.5,54.4
500KV-BYQ-001,2024-07-16 14:00:00,63.5,66.4
500KV-BYQ-002,2024-07-16 14:00:00,50.0,52.9
500KV-BYQ-003,2024-07-16 14:00:00,70.6,73.0
500KV-BYQ-001,2024-07-16 15:00:00,53.9,56.1
500KV-BYQ-002,2024-07-16 15:00:00,60.5,63.2
500KV-BYQ-003,2024-07-16 15:00:00,53.6,55.4
500KV-BYQ-001,2024-07-16 16:00:00,57.6,58.9
500KV-BYQ-002,2024-07-16 16:00:00,68.0,69.8
500KV-BYQ-003,2024-07-16 16:00:00,67.4,68.9
500KV-BYQ-001,2024-07-16 17:00:00,60.2,61.9
500KV-BYQ-002,2024-07-16 17:00:00,50.6,51.7
500KV-BYQ-003,2024-07-16 17:00:00,72.0,73
500KV-BYQ-001,2024-07-16 18:00:00,55.6,58.2
500KV-BYQ-002,2024-07-16 18:00:00,52.4,53.6
500KV-BYQ-003,2024-07-16 18:00:00,53.4,56.1
500KV-BYQ-001,2024-07-16 19:00:00,66.5,69.1
500KV-BYQ-002,2024-07-16 19:00:00,48.1,50.8
500KV-BYQ-003,2024-07-16 19:00:00,64.1,67.0
500KV-BYQ-001,2024-07-16 20:00:00,69.1,71.2
500KV-BYQ-002,2024-07-16 20:00:00,67.5,69.8
500KV-BYQ-003,2024-07-16 20:00:00,54.2,55.7
500KV-BYQ-001,2024-07-16 21:00:00,60.4,62.1
500KV-BYQ-002,2024-07-16 21:00:00,53.9,55.8
500KV-BYQ-003,2024-07-16 21:00:00,48.4,49.8
500KV-BYQ-001,2024-07-16 22:00:00,54.9,56.8
500KV-BYQ-002,2024-07-16 22:00:00,61.2,62.9
500KV-BYQ-003,2024-07-16 22:00:00,50.3,52.2
500KV-BYQ-001,2024-07-16 23:00:00,55.4,58.4
500KV-BYQ-002,2024-07-16 23:00:00,57.9,60.9
500KV-BYQ-003,2024-07-16 23:00:00,47.8,49.3
500KV-BYQ-001,2024-07-17 00:00:00,45.4,48.4
500KV-BYQ-002,2024-07-17 00:00:00,49.8,50.8
500KV-BYQ-003,2024-07-17 00:00:00,64.4,66.5
500KV-BYQ-001,2024-07-17 01:00:00,45.0,46.8
500KV-BYQ-002,2024-07-17 01:00:00,64.6,67.5
500KV-BYQ-003,2024-07-17 01:00:00,47.3,48.8
500KV-BYQ-001,2024-07-17 02:00:00,54.8,57.1
500KV-BYQ-002,2024-07-17 02:00:00,64.4,65.8
500KV-BYQ-003,2024-07-17 02:00:00,55.9,57.7
500KV-BYQ-001,2024-07-17 03:00:00,46.9,48.5
500KV-BYQ-002,2024-07-17 03:00:00,61.8,63.4
500KV-BYQ-003,2024-07-17 03:00:00,44.9,46.2
500KV-BYQ-001,2024-07-17 04:00:00,57.5,58.9
500KV-BYQ-002,2024-07-17 04:00:00,52.8,55.5
500KV-BYQ-003,2024-07-17 04:00:00,60.9,63.8
500KV-BYQ-001,2024-07-17 05:00:00,61.6,63.5
500KV-BYQ-002,2024-07-17 05:00:00,54.5,55.5
500KV-BYQ-003,2024-07-17 05:00:00,57.3,59.7
500KV-BYQ-001,2024-07-17 06:00:00,55.0,56.1
500KV-BYQ-002,2024-07-17 06:00:00,47.5,49.8
500KV-BYQ-003,2024-07-17 06:00:00,64.9,67.4
500KV-BYQ-001,2024-07-17 07:00:00,65.4,66.8
500KV-BYQ-002,2024-07-17 07:00:00,50.2,52.2
500KV-BYQ-003,2024-07-17 07:00:00,57.6,60.4
500KV-BYQ-001,2024-07-17 08:00:00,60.1,62.2
500KV-BYQ-002,2024-07-17 08:00:00,65.0,67.5
500KV-BYQ-003,2024-07-17 08:00:00,60.9,62.9
500KV-BYQ-001,2024-07-17 09:00:00,56.2,58.1
500KV-BYQ-002,2024-07-17 09:00:00,62.9,65.9
500KV-BYQ-003,2024-07-17 09:00:00,61.0,63.9
500KV-BYQ-001,2024-07-17 10:00:00,48.4,51.1
500KV-BYQ-002,2024-07-17 10:00:00,48.2,49.5
500KV-BYQ-003,2024-07-17 10:00:00,54.9,57.4
500KV-BYQ-001,2024-07-17 11:00:00,55.3,56.3
500KV-BYQ-002,2024-07-17 11:00:00,49.1,51.0
500KV-BYQ-003,2024-07-17 11:00:00,51.4,53.7
500KV-BYQ-001,2024-07-17 12:00:00,48.2,50.0
500KV-BYQ-002,2024-07-17 12:00:00,57.5,58.7
500KV-BYQ-003,2024-07-17 12:00:00,54.7,56.8
500KV-BYQ-001,2024-07-17 13:00:00,71.4,73
500KV-BYQ-002,2024-07-17 13:00:00,61.2,62.9
500KV-BYQ-003,2024-07-17 13:00:00,64.7,67.2
500KV-BYQ-001,2024-07-17 14:00:00,48.2,50.4
500KV-BYQ-002,2024-07-17 14:00:00,57.5,59.9
500KV-BYQ-003,2024-07-17 14:00:00,53.6,55.0
500KV-BYQ-001,2024-07-17 15:00:00,61.9,63.6
500KV-BYQ-002,2024-07-17 15:00:00,57.2,59.0
500KV-BYQ-003,2024-07-17 15:00:00,62.9,63.9
500KV-BYQ-001,2024-07-17 16:00:00,56.1,58.4
500KV-BYQ-002,2024-07-17 16:00:00,55.9,58.8
500KV-BYQ-003,2024-07-17 16:00:00,61.1,63.4
500KV-BYQ-001,2024-07-17 17:00:00,64.9,67.5
500KV-BYQ-002,2024-07-17 17:00:00,68.6,71.0
500KV-BYQ-003,2024-07-17 17:00:00,68.1,70.1
500KV-BYQ-001,2024-07-17 18:00:00,62.1,64.0
500KV-BYQ-002,2024-07-17 18:00:00,67.1,69.8
500KV-BYQ-003,2024-07-17 18:00:00,51.9,54.5
500KV-BYQ-001,2024-07-17 19:00:00,59.5,60.9
500KV-BYQ-002,2024-07-17 19:00:00,70.0,71.9
500KV-BYQ-003,2024-07-17 19:00:00,53.2,54.7
500KV-BYQ-001,2024-07-17 20:00:00,64.7,66.5
500KV-BYQ-002,2024-07-17 20:00:00,60.8,62.6
500KV-BYQ-003,2024-07-17 20:00:00,53.3,55.8
500KV-BYQ-001,2024-07-17 21:00:00,61.9,63.2
500KV-BYQ-002,2024-07-17 21:00:00,59.5,62.5
500KV-BYQ-003,2024-07-17 21:00:00,51.1,53.6
500KV-BYQ-001,2024-07-17 22:00:00,52.1,54.1
500KV-BYQ-002,2024-07-17 22:00:00,57.9,60.5
500KV-BYQ-003,2024-07-17 22:00:00,48.8,50.0
500KV-BYQ-001,2024-07-17 23:00:00,55.8,57.7
500KV-BYQ-002,2024-07-17 23:00:00,46.1,48.1
500KV-BYQ-003,2024-07-17 23:00:00,52.1,53.3
500KV-BYQ-001,2024-07-18 00:00:00,56.0,58.8
500KV-BYQ-002,2024-07-18 00:00:00,52.5,54.3
500KV-BYQ-003,2024-07-18 00:00:00,62.0,64.2
500KV-BYQ-001,2024-07-18 01:00:00,48.4,49.6
500KV-BYQ-002,2024-07-18 01:00:00,59.3,60.3
500KV-BYQ-003,2024-07-18 01:00:00,62.4,65.2
500KV-BYQ-001,2024-07-18 02:00:00,61.5,63.9
500KV-BYQ-002,2024-07-18 02:00:00,61.6,63.8
500KV-BYQ-003,2024-07-18 02:00:00,50.8,52.2
500KV-BYQ-001,2024-07-18 03:00:00,55.3,57.6
500KV-BYQ-002,2024-07-18 03:00:00,49.1,51.8
500KV-BYQ-003,2024-07-18 03:00:00,51.3,53.6
500KV-BYQ-001,2024-07-18 04:00:00,58.8,60.3
500KV-BYQ-002,2024-07-18 04:00:00,56.5,58.8
500KV-BYQ-003,2024-07-18 04:00:00,48.6,50.8
500KV-BYQ-001,2024-07-18 05:00:00,58.0,59.7
500KV-BYQ-002,2024-07-18 05:00:00,56.7,58.4
500KV-BYQ-003,2024-07-18 05:00:00,56.5,57.5
500KV-BYQ-001,2024-07-18 06:00:00,56.1,57.8
500KV-BYQ-002,2024-07-18 06:00:00,50.7,53.4
500KV-BYQ-003,2024-07-18 06:00:00,54.9,56.7
500KV-BYQ-001,2024-07-18 07:00:00,59.2,60.7
500KV-BYQ-002,2024-07-18 07:00:00,64.9,67.0
500KV-BYQ-003,2024-07-18 07:00:00,52.7,54.7
500KV-BYQ-001,2024-07-18 08:00:00,52.0,53.7
500KV-BYQ-002,2024-07-18 08:00:00,55.7,57.2
500KV-BYQ-003,2024-07-18 08:00:00,65.7,66.9
500KV-BYQ-001,2024-07-18 09:00:00,59.8,61.1
500KV-BYQ-002,2024-07-18 09:00:00,65.3,67.5
500KV-BYQ-003,2024-07-18 09:00:00,70.3,73
500KV-BYQ-001,2024-07-18 10:00:00,66.9,68.3
500KV-BYQ-002,2024-07-18 10:00:00,67.6,69.8
500KV-BYQ-003,2024-07-18 10:00:00,56.4,58.1
500KV-BYQ-001,2024-07-18 11:00:00,65.4,68.1
500KV-BYQ-002,2024-07-18 11:00:00,62.1,63.7
500KV-BYQ-003,2024-07-18 11:00:00,63.5,64.8
500KV-BYQ-001,2024-07-18 12:00:00,56.5,58.3
500KV-BYQ-002,2024-07-18 12:00:00,51.9,54.4
500KV-BYQ-003,2024-07-18 12:00:00,54.6,56.7
500KV-BYQ-001,2024-07-18 13:00:00,63.9,65.3
500KV-BYQ-002,2024-07-18 13:00:00,70.2,72.3
500KV-BYQ-003,2024-07-18 13:00:00,58.9,60.7
500KV-BYQ-001,2024-07-18 14:00:00,60.7,62.2
500KV-BYQ-002,2024-07-18 14:00:00,61.7,63.6
500KV-BYQ-003,2024-07-18 14:00:00,56.8,57.9
500KV-BYQ-001,2024-07-18 15:00:00,61.7,64.6
500KV-BYQ-002,2024-07-18 15:00:00,70.3,71.5
500KV-BYQ-003,2024-07-18 15:00:00,49.2,51.1
500KV-BYQ-001,2024-07-18 16:00:00,62.6,65.5
500KV-BYQ-002,2024-07-18 16:00:00,58.7,60.3
500KV-BYQ-003,2024-07-18 16:00:00,57.2,60.1
500KV-BYQ-001,2024-07-18 17:00:00,50.5,53.3
500KV-BYQ-002,2024-07-18 17:00:00,72.0,73
500KV-BYQ-003,2024-07-18 17:00:00,54.7,57.2
500KV-BYQ-001,2024-07-18 18:00:00,51.6,54.2
500KV-BYQ-002,2024-07-18 18:00:00,57.6,60.1
500KV-BYQ-003,2024-07-18 18:00:00,48.7,50.4
500KV-BYQ-001,2024-07-18 19:00:00,59.5,62.0
500KV-BYQ-002,2024-07-18 19:00:00,53.2,55.4
500KV-BYQ-003,2024-07-18 19:00:00,66.2,68.2
500KV-BYQ-001,2024-07-18 20:00:00,56.9,58.1
500KV-BYQ-002,2024-07-18 20:00:00,62.1,64.4
500KV-BYQ-003,2024-07-18 20:00:00,66.8,68.1
500KV-BYQ-001,2024-07-18 21:00:00,52.0,53.5
500KV-BYQ-002,2024-07-18 21:00:00,63.0,64.4
500KV-BYQ-003,2024-07-18 21:00:00,57.9,58.9
500KV-BYQ-001,2024-07-18 22:00:00,63.5,66.5
500KV-BYQ-002,2024-07-18 22:00:00,54.3,56.8
500KV-BYQ-003,2024-07-18 22:00:00,57.0,58.6
500KV-BYQ-001,2024-07-18 23:00:00,64.8,67.4
500KV-BYQ-002,2024-07-18 23:00:00,51.5,53.4
500KV-BYQ-003,2024-07-18 23:00:00,65.4,66.7
500KV-BYQ-001,2024-07-19 00:00:00,50.8,52.0
500KV-BYQ-002,2024-07-19 00:00:00,64.1,67.0
500KV-BYQ-003,2024-07-19 00:00:00,52.6,55.1
500KV-BYQ-001,2024-07-19 01:00:00,51.7,53.4
500KV-BYQ-002,2024-07-19 01:00:00,45.1,46.6
500KV-BYQ-003,2024-07-19 01:00:00,52.7,55.2
500KV-BYQ-001,2024-07-19 02:00:00,53.7,56.4
500KV-BYQ-002,2024-07-19 02:00:00,60.6,63.4
500KV-BYQ-003,2024-07-19 02:00:00,58.0,59.1
500KV-BYQ-001,2024-07-19 03:00:00,48.8,51.5
500KV-BYQ-002,2024-07-19 03:00:00,62.3,63.7
500KV-BYQ-003,2024-07-19 03:00:00,45.9,47.8
500KV-BYQ-001,2024-07-19 04:00:00,49.0,50.9
500KV-BYQ-002,2024-07-19 04:00:00,49.1,51.9
500KV-BYQ-003,2024-07-19 04:00:00,62.5,64.4
500KV-BYQ-001,2024-07-19 05:00:00,47.0,49.4
