变压器资产ID,相位,数据时间,氢气(μL/L),甲烷(μL/L),乙烷(μL/L),乙烯(μL/L),乙炔(μL/L),一氧化碳(μL/L),二氧化碳(μL/L),总烃(μL/L),运行状态,数据质量
500KV-2号主变压器,A相,2024-08-09 00:00:00,223.87,14.43,15.06,0.78,0.63,632.7,2576.4,30.51,注意,一般
500KV-3号主变压器,A相,2024-08-09 00:00:00,76.78,4.52,2.62,1.97,0.52,935.4,2255.6,9.37,注意,良好
500KV-1号主变压器,A相,2024-08-10 00:00:00,24.97,12.69,1.17,0.93,0.39,363.7,1526.9,15.1,注意,良好
500KV-2号主变压器,A相,2024-08-10 00:00:00,186.25,3.98,23.16,2.33,0.57,1179.6,1874.9,30.46,注意,差
500KV-3号主变压器,A相,2024-08-10 00:00:00,109.23,9.51,2.42,9.57,0.53,549.2,2860.2,21.74,注意,一般
500KV-1号主变压器,A相,2024-08-11 00:00:00,45.19,3.21,18.41,3.44,1.13,558.2,2314.7,26.03,注意,良好
500KV-2号主变压器,A相,2024-08-11 00:00:00,96.39,3.78,17.19,14.61,0.28,1168.0,2080.6,35.44,注意,良好
500KV-3号主变压器,A相,2024-08-11 00:00:00,97.06,10.8,24.27,1.11,0.39,1274.0,2936.2,35.78,注意,良好
500KV-1号主变压器,A相,2024-08-12 00:00:00,74.1,6.58,14.21,15.99,0.14,1220.6,1220.3,36.04,注意,良好
500KV-2号主变压器,A相,2024-08-12 00:00:00,8.05,14.82,26.56,5.92,0.23,690.6,3226.0,47.21,注意,一般
500KV-3号主变压器,A相,2024-08-12 00:00:00,96.59,10.83,19.96,16.31,0.09,340.4,3573.0,48.24,注意,良好
500KV-1号主变压器,A相,2024-08-13 00:00:00,44.96,7.19,18.78,5.53,0.9,1376.2,1246.8,32.7,注意,良好
500KV-2号主变压器,A相,2024-08-13 00:00:00,131.36,5.54,12.15,3.88,1.0,1212.4,1795.0,22.91,注意,良好
500KV-3号主变压器,A相,2024-08-13 00:00:00,124.47,10.63,17.83,8.61,0.3,783.7,3067.4,38.45,注意,良好
500KV-1号主变压器,A相,2024-08-14 00:00:00,116.01,6.12,25.41,18.07,0.26,1316.2,1082.8,49.68,注意,良好
500KV-2号主变压器,A相,2024-08-14 00:00:00,88.85,10.07,18.71,7.65,0.27,468.1,2363.0,37.44,注意,良好
500KV-3号主变压器,A相,2024-08-14 00:00:00,195.69,3.73,11.08,16.06,0.36,1334.7,2154.8,32.15,注意,良好
500KV-1号主变压器,A相,2024-08-15 00:00:00,54.47,5.89,29.78,4.32,0.18,253.8,2996.9,39.3,注意,良好
500KV-2号主变压器,A相,2024-08-15 00:00:00,122.46,9.84,13.08,20.97,0.32,267.9,3656.1,46.02,注意,良好
500KV-3号主变压器,A相,2024-08-15 00:00:00,142.92,15.01,17.72,8.42,0.33,1280.3,1051.2,43.05,注意,良好
500KV-1号主变压器,A相,2024-08-16 00:00:00,118.66,3.55,30.4,6.07,1.01,197.3,877.4,40.43,注意,良好
500KV-2号主变压器,A相,2024-08-16 00:00:00,66.98,8.68,32.39,19.07,0.25,560.0,1985.1,60.08,注意,良好
500KV-3号主变压器,A相,2024-08-16 00:00:00,77.4,6.93,4.89,13.94,0.06,668.6,1965.0,24.67,注意,良好
500KV-1号主变压器,A相,2024-08-17 00:00:00,120.34,9.12,23.18,8.59,0.12,1004.0,1913.5,42.46,注意,良好
500KV-2号主变压器,A相,2024-08-17 00:00:00,131.64,3.51,29.11,19.33,0.01,1487.0,2377.6,51.78,注意,良好
500KV-3号主变压器,A相,2024-08-17 00:00:00,58.27,11.12,35.94,7.33,0.77,275.3,2055.8,56.56,注意,良好
500KV-1号主变压器,A相,2024-08-18 00:00:00,219.85,7.48,23.63,17.21,0.31,749.4,2752.9,49.44,注意,良好
500KV-2号主变压器,A相,2024-08-18 00:00:00,115.41,4.02,0.86,4.1,0.66,1107.9,2799.3,10.0,注意,良好
500KV-3号主变压器,A相,2024-08-18 00:00:00,33.55,7.12,13.87,9.14,1.09,804.2,1440.6,32.6,注意,良好
500KV-1号主变压器,A相,2024-08-19 00:00:00,181.43,3.38,16.75,4.95,0.74,440.5,3487.8,26.84,注意,良好
500KV-2号主变压器,A相,2024-08-19 00:00:00,125.72,13.2,16.94,13.05,0.29,955.6,1252.6,43.3,注意,良好
500KV-3号主变压器,A相,2024-08-19 00:00:00,64.42,12.94,7.45,9.19,0.08,491.5,2970.5,30.77,注意,良好
500KV-1号主变压器,A相,2024-08-20 00:00:00,35.26,7.72,14.72,14.15,0.48,1232.0,3535.8,38.72,注意,一般
500KV-2号主变压器,A相,2024-08-20 00:00:00,43.97,7.56,34.73,14.83,0.29,241.8,3491.1,57.96,注意,良好
500KV-3号主变压器,A相,2024-08-20 00:00:00,18.24,15.07,3.88,2.45,0.27,720.3,2186.4,21.76,注意,良好
500KV-1号主变压器,A相,2024-08-21 00:00:00,241.71,11.58,11.79,17.8,0.63,1166.0,1232.1,42.45,注意,良好
500KV-2号主变压器,A相,2024-08-21 00:00:00,251.26,3.02,13.71,13.05,0.19,590.5,1557.9,29.35,注意,差
500KV-3号主变压器,A相,2024-08-21 00:00:00,209.23,7.82,6.62,7.48,0.22,267.3,2403.9,22.88,注意,良好
500KV-1号主变压器,A相,2024-08-22 00:00:00,83.83,8.35,7.56,9.93,0.13,584.6,2507.4,25.82,注意,一般
500KV-2号主变压器,A相,2024-08-22 00:00:00,90.81,13.03,8.98,1.03,0.24,255.0,771.8,22.6,注意,良好
500KV-3号主变压器,A相,2024-08-22 00:00:00,145.74,12.59,21.02,2.46,0.0,1230.5,3194.0,35.04,注意,良好
500KV-1号主变压器,A相,2024-08-23 00:00:00,155.49,11.31,25.85,20.72,0.48,1167.9,1701.4,59.38,注意,良好
500KV-2号主变压器,A相,2024-08-23 00:00:00,89.17,9.56,5.89,4.21,0.13,249.1,2277.8,19.36,注意,良好
500KV-3号主变压器,A相,2024-08-23 00:00:00,250.94,10.22,16.05,2.77,0.5,270.7,1634.9,30.47,注意,良好
500KV-1号主变压器,A相,2024-08-24 00:00:00,218.23,5.2,21.15,6.4,0.16,533.4,1110.6,34.5,注意,良好
500KV-2号主变压器,A相,2024-08-24 00:00:00,68.82,10.15,34.6,2.87,0.26,1082.5,1732.3,46.31,注意,良好
500KV-3号主变压器,A相,2024-08-24 00:00:00,21.25,7.7,1.25,2.22,0.84,1129.4,2306.9,12.18,注意,良好
500KV-1号主变压器,A相,2024-08-25 00:00:00,157.7,6.23,2.56,13.0,0.42,857.0,788.2,23.23,注意,良好
500KV-2号主变压器,A相,2024-08-25 00:00:00,116.98,14.3,25.33,13.04,0.44,976.3,1427.0,51.09,注意,良好
500KV-3号主变压器,A相,2024-08-25 00:00:00,186.13,11.34,11.23,1.57,0.67,449.9,2752.5,25.66,注意,良好
500KV-1号主变压器,A相,2024-08-26 00:00:00,76.85,11.03,19.51,13.44,0.62,932.0,2333.1,45.16,注意,良好
500KV-2号主变压器,A相,2024-08-26 00:00:00,221.86,3.25,29.58,9.09,0.12,289.2,1144.2,41.0,注意,良好
500KV-3号主变压器,A相,2024-08-26 00:00:00,155.87,12.8,13.55,2.66,0.3,229.0,1991.2,29.25,注意,良好
500KV-1号主变压器,A相,2024-08-27 00:00:00,120.63,4.13,18.44,4.34,0.24,1132.4,2949.0,28.42,注意,良好
500KV-2号主变压器,A相,2024-08-27 00:00:00,50.82,4.41,5.47,1.31,0.22,1352.9,2959.2,10.92,注意,良好
500KV-3号主变压器,A相,2024-08-27 00:00:00,170.58,11.27,35.74,13.15,0.34,1064.5,1127.0,63.34,注意,良好
500KV-1号主变压器,A相,2024-08-28 00:00:00,177.99,7.94,21.18,1.74,0.75,461.0,2434.9,31.45,注意,良好
500KV-2号主变压器,A相,2024-08-28 00:00:00,137.89,8.45,18.6,12.94,1.5,456.8,2920.8,39.94,注意,良好
500KV-3号主变压器,A相,2024-08-28 00:00:00,146.41,4.61,20.78,16.47,0.37,1257.6,3292.6,41.4,注意,良好
500KV-1号主变压器,A相,2024-08-29 00:00:00,165.19,9.11,29.02,2.99,0.6,501.4,2709.4,40.38,注意,良好
500KV-2号主变压器,A相,2024-08-29 00:00:00,81.95,4.43,24.73,0.28,0.95,941.1,2234.3,30.96,注意,一般
500KV-3号主变压器,A相,2024-08-29 00:00:00,198.6,9.51,10.73,7.42,0.75,536.8,2326.4,27.54,注意,一般
500KV-1号主变压器,B相,2024-06-01 00:00:00,118.36,8.86,18.24,12.85,0.58,392.7,2370.8,41.61,注意,一般
500KV-2号主变压器,B相,2024-06-01 00:00:00,188.86,5.16,5.7,13.62,0.57,1509.9,1019.5,25.31,注意,良好
500KV-3号主变压器,B相,2024-06-01 00:00:00,154.4,5.2,30.23,5.92,0.71,347.8,1795.6,42.82,注意,良好
500KV-1号主变压器,B相,2024-06-02 00:00:00,133.71,14.09,20.2,8.42,0.1,368.3,2183.4,42.76,注意,良好
500KV-2号主变压器,B相,2024-06-02 00:00:00,103.64,11.99,12.58,14.82,0.17,691.1,1436.4,40.19,注意,良好
500KV-3号主变压器,B相,2024-06-02 00:00:00,51.36,3.24,19.57,1.69,0.04,541.4,1355.5,24.59,注意,一般
500KV-1号主变压器,B相,2024-06-03 00:00:00,159.38,9.42,30.06,8.04,0.8,456.4,1875.2,48.59,注意,良好
500KV-2号主变压器,B相,2024-06-03 00:00:00,71.71,6.63,15.01,12.89,0.48,286.9,1053.1,36.4,注意,一般
500KV-3号主变压器,B相,2024-06-03 00:00:00,45.15,7.84,18.14,12.8,0.57,1237.8,2199.5,40.75,注意,良好
500KV-1号主变压器,B相,2024-06-04 00:00:00,36.13,3.7,26.25,1.5,0.1,911.4,1837.0,31.65,注意,良好
500KV-2号主变压器,B相,2024-06-04 00:00:00,71.37,11.5,21.86,3.2,0.92,693.3,2913.9,38.28,注意,良好
500KV-3号主变压器,B相,2024-06-04 00:00:00,194.17,13.23,23.59,8.35,0.1,1068.9,1914.1,43.03,注意,良好
500KV-1号主变压器,B相,2024-06-05 00:00:00,199.68,14.66,14.51,10.98,0.78,899.5,1007.1,39.14,注意,良好
500KV-2号主变压器,B相,2024-06-05 00:00:00,54.11,7.37,7.56,15.53,1.03,1140.8,1804.1,31.57,注意,差
500KV-3号主变压器,B相,2024-06-05 00:00:00,234.2,10.51,22.66,8.62,0.03,1162.4,2536.8,40.24,注意,良好
500KV-1号主变压器,B相,2024-06-06 00:00:00,12.41,12.5,27.1,4.92,0.45,994.7,775.8,45.04,注意,良好
500KV-2号主变压器,B相,2024-06-06 00:00:00,32.66,11.68,12.33,10.6,0.07,593.1,1836.4,34.62,注意,良好
500KV-3号主变压器,B相,2024-06-06 00:00:00,55.45,13.26,20.17,2.05,0.24,1001.5,1854.2,36.12,注意,良好
500KV-1号主变压器,B相,2024-06-07 00:00:00,64.85,13.89,0.71,15.06,0.56,1065.5,1682.2,30.14,注意,良好
500KV-2号主变压器,B相,2024-06-07 00:00:00,204.68,9.42,24.52,1.47,0.34,1049.5,2780.5,37.01,注意,良好
500KV-3号主变压器,B相,2024-06-07 00:00:00,131.62,8.44,1.41,2.4,0.17,237.1,1448.4,12.28,注意,差
500KV-1号主变压器,B相,2024-06-08 00:00:00,164.32,3.34,9.63,19.02,0.86,1271.4,3407.0,31.62,注意,良好
500KV-2号主变压器,B相,2024-06-08 00:00:00,206.09,13.32,8.52,10.85,0.13,761.8,1520.1,31.33,注意,良好
500KV-3号主变压器,B相,2024-06-08 00:00:00,129.82,8.74,11.78,4.65,0.13,337.4,2777.8,25.16,注意,良好
500KV-1号主变压器,B相,2024-06-09 00:00:00,16.48,7.18,19.25,4.61,0.26,227.3,882.4,31.91,注意,良好
500KV-2号主变压器,B相,2024-06-09 00:00:00,253.36,4.06,24.47,15.45,0.58,493.8,3133.8,45.38,注意,一般
500KV-3号主变压器,B相,2024-06-09 00:00:00,171.95,4.2,3.59,5.37,0.2,923.6,2410.1,13.76,注意,良好
500KV-1号主变压器,B相,2024-06-10 00:00:00,217.35,12.57,17.62,2.04,0.23,527.2,2877.8,33.98,注意,良好
500KV-2号主变压器,B相,2024-06-10 00:00:00,168.76,6.96,15.67,3.06,0.05,834.9,3087.4,24.66,注意,良好
500KV-3号主变压器,B相,2024-06-10 00:00:00,25.73,11.01,13.15,18.66,0.28,908.7,2886.1,42.5,注意,良好
500KV-1号主变压器,B相,2024-06-11 00:00:00,64.41,4.28,0.93,9.85,0.52,1028.1,2596.6,15.87,注意,良好
500KV-2号主变压器,B相,2024-06-11 00:00:00,85.79,8.38,27.25,19.88,0.4,1312.8,2634.2,53.15,注意,一般
500KV-3号主变压器,B相,2024-06-11 00:00:00,126.68,6.08,22.17,12.72,0.59,715.7,1404.2,39.63,注意,一般
500KV-1号主变压器,B相,2024-06-12 00:00:00,43.79,12.86,14.07,5.67,0.27,1383.2,2089.8,32.57,注意,良好
500KV-2号主变压器,B相,2024-06-12 00:00:00,237.46,13.82,18.84,1.66,1.11,695.1,3304.0,33.81,注意,良好
500KV-3号主变压器,B相,2024-06-12 00:00:00,126.83,13.12,27.11,6.86,0.13,1261.7,3081.1,48.71,注意,良好
500KV-1号主变压器,B相,2024-06-13 00:00:00,22.82,13.64,19.37,5.23,0.9,274.0,2770.7,38.64,注意,良好
500KV-2号主变压器,B相,2024-06-13 00:00:00,64.74,12.98,10.71,2.99,0.17,885.2,1885.7,27.51,注意,良好
500KV-3号主变压器,B相,2024-06-13 00:00:00,201.3,12.53,17.42,4.38,0.13,450.1,1538.9,35.09,注意,良好
500KV-1号主变压器,B相,2024-06-14 00:00:00,44.52,9.52,6.07,18.47,0.71,590.2,1308.5,35.23,注意,良好
500KV-2号主变压器,B相,2024-06-14 00:00:00,40.12,4.88,3.67,12.23,0.18,1225.7,1469.6,20.02,注意,良好
500KV-3号主变压器,B相,2024-06-14 00:00:00,101.69,15.42,25.61,8.1,0.24,1395.7,2885.1,48.28,注意,良好
500KV-1号主变压器,B相,2024-06-15 00:00:00,228.15,9.02,21.94,17.12,1.25,1276.4,721.7,50.44,注意,一般
500KV-2号主变压器,B相,2024-06-15 00:00:00,151.04,9.6,20.21,1.93,0.1,1046.8,990.8,31.22,注意,良好
500KV-3号主变压器,B相,2024-06-15 00:00:00,212.86,12.24,20.46,17.23,0.16,497.0,2971.1,48.91,注意,良好
500KV-1号主变压器,B相,2024-06-16 00:00:00,118.41,10.94,1.1,13.5,0.61,1036.6,1964.7,26.32,注意,良好
500KV-2号主变压器,B相,2024-06-16 00:00:00,236.08,9.16,3.52,8.41,0.24,460.3,2599.8,21.59,注意,良好
500KV-3号主变压器,B相,2024-06-16 00:00:00,140.33,9.52,26.69,6.75,0.2,322.8,2307.9,41.11,注意,良好
500KV-1号主变压器,B相,2024-06-17 00:00:00,101.73,7.86,21.95,4.47,0.5,985.0,2250.9,35.26,注意,良好
500KV-2号主变压器,B相,2024-06-17 00:00:00,239.0,9.09,7.39,2.63,0.37,578.0,1225.9,20.25,注意,良好
500KV-3号主变压器,B相,2024-06-17 00:00:00,124.23,9.14,9.74,6.45,0.24,370.6,2848.2,25.61,注意,差
500KV-1号主变压器,B相,2024-06-18 00:00:00,121.31,8.81,4.0,7.73,0.63,1101.4,3228.4,21.2,注意,良好
500KV-2号主变压器,B相,2024-06-18 00:00:00,130.77,8.52,26.63,3.37,0.11,537.5,1649.3,39.73,注意,良好
500KV-3号主变压器,B相,2024-06-18 00:00:00,171.54,7.94,27.94,5.0,0.24,1378.3,2905.5,41.79,注意,良好
500KV-1号主变压器,B相,2024-06-19 00:00:00,51.25,8.18,16.8,12.19,0.61,310.7,1395.9,36.05,注意,良好
500KV-2号主变压器,B相,2024-06-19 00:00:00,73.18,13.29,3.0,4.95,0.28,867.0,2396.0,21.28,注意,良好
500KV-3号主变压器,B相,2024-06-19 00:00:00,267.66,13.69,27.81,7.51,0.4,1201.1,2230.4,51.88,注意,良好
500KV-1号主变压器,B相,2024-06-20 00:00:00,80.49,4.72,18.65,19.86,0.58,956.3,2938.6,43.94,注意,良好
500KV-2号主变压器,B相,2024-06-20 00:00:00,16.07,6.09,24.07,7.52,0.62,292.5,3577.2,37.48,注意,一般
500KV-3号主变压器,B相,2024-06-20 00:00:00,131.06,5.1,25.25,11.55,0.33,698.7,760.4,40.2,注意,良好
500KV-1号主变压器,B相,2024-06-21 00:00:00,230.76,7.12,13.44,1.64,0.2,658.9,2406.7,22.84,注意,良好
500KV-2号主变压器,B相,2024-06-21 00:00:00,86.98,12.2,16.6,6.38,1.02,1010.9,2610.8,36.96,注意,良好
500KV-3号主变压器,B相,2024-06-21 00:00:00,39.93,13.91,10.7,11.64,0.06,813.9,950.7,35.38,注意,良好
500KV-1号主变压器,B相,2024-06-22 00:00:00,147.57,8.72,3.82,18.07,0.03,981.6,3251.4,30.41,注意,一般
500KV-2号主变压器,B相,2024-06-22 00:00:00,216.07,11.54,9.53,4.36,0.22,973.3,1228.8,24.69,注意,一般
500KV-3号主变压器,B相,2024-06-22 00:00:00,132.86,3.21,13.35,10.42,0.52,385.2,1364.0,27.23,注意,良好
500KV-1号主变压器,B相,2024-06-23 00:00:00,225.49,11.41,25.63,5.89,0.92,392.4,2230.8,45.78,注意,良好
500KV-2号主变压器,B相,2024-06-23 00:00:00,164.49,7.69,12.78,0.31,1.19,752.6,2878.6,21.13,注意,良好
500KV-3号主变压器,B相,2024-06-23 00:00:00,132.48,11.28,6.41,4.61,0.38,1481.6,2961.6,23.17,注意,良好
500KV-1号主变压器,B相,2024-06-24 00:00:00,89.25,8.98,12.44,2.84,0.49,610.9,3168.4,24.81,注意,良好
500KV-2号主变压器,B相,2024-06-24 00:00:00,121.27,4.34,7.44,10.81,0.12,379.9,873.2,21.73,注意,良好
500KV-3号主变压器,B相,2024-06-24 00:00:00,179.74,12.65,16.22,10.15,0.41,444.1,1354.1,39.74,注意,良好
500KV-1号主变压器,B相,2024-06-25 00:00:00,161.74,12.07,12.85,16.49,0.08,601.1,2060.4,41.24,注意,良好
500KV-2号主变压器,B相,2024-06-25 00:00:00,148.8,10.07,11.53,16.09,0.48,1273.2,1931.1,39.43,注意,良好
500KV-3号主变压器,B相,2024-06-25 00:00:00,34.5,11.6,12.36,0.79,0.12,1100.9,3339.0,24.72,注意,良好
500KV-1号主变压器,B相,2024-06-26 00:00:00,128.13,3.16,9.99,18.71,0.04,537.3,2697.9,30.5,注意,良好
500KV-2号主变压器,B相,2024-06-26 00:00:00,200.3,3.59,14.42,2.16,0.61,1400.3,2543.4,19.76,注意,一般
500KV-3号主变压器,B相,2024-06-26 00:00:00,149.61,7.21,19.53,12.53,0.16,868.8,2284.4,41.36,注意,良好
500KV-1号主变压器,B相,2024-06-27 00:00:00,31.84,5.68,30.45,0.61,0.2,874.6,3137.5,35.17,注意,良好
500KV-2号主变压器,B相,2024-06-27 00:00:00,209.3,6.83,29.99,11.45,1.03,1421.3,3260.6,48.28,注意,良好
500KV-3号主变压器,B相,2024-06-27 00:00:00,72.99,10.74,32.22,4.56,0.31,1098.3,2105.4,46.64,注意,良好
500KV-1号主变压器,B相,2024-06-28 00:00:00,160.64,12.92,24.09,7.73,0.58,1264.1,1206.2,45.56,注意,一般
500KV-2号主变压器,B相,2024-06-28 00:00:00,19.62,13.41,7.67,0.68,0.63,353.5,2918.6,23.27,注意,良好
500KV-3号主变压器,B相,2024-06-28 00:00:00,40.56,13.4,14.58,3.11,1.46,188.0,3708.5,33.98,注意,良好
500KV-1号主变压器,B相,2024-06-29 00:00:00,260.0,3.78,19.68,7.45,0.93,949.7,1673.5,31.27,注意,良好
500KV-2号主变压器,B相,2024-06-29 00:00:00,50.61,3.76,11.3,0.7,0.89,831.5,1111.0,16.6,注意,差
500KV-3号主变压器,B相,2024-06-29 00:00:00,159.19,6.23,11.48,13.26,0.08,489.2,2560.6,32.28,注意,良好
500KV-1号主变压器,B相,2024-06-30 00:00:00,53.18,7.23,27.49,15.18,0.11,640.0,1884.3,49.8,注意,良好
500KV-2号主变压器,B相,2024-06-30 00:00:00,46.83,5.99,30.07,17.6,0.49,824.7,2721.4,55.27,注意,良好
500KV-3号主变压器,B相,2024-06-30 00:00:00,87.32,9.67,18.67,17.46,0.06,1112.0,957.0,45.37,注意,良好
500KV-1号主变压器,B相,2024-07-01 00:00:00,18.03,10.3,8.82,17.08,0.19,300.7,837.0,38.17,注意,良好
500KV-2号主变压器,B相,2024-07-01 00:00:00,118.56,5.21,4.53,1.6,0.13,279.9,2381.1,11.49,注意,良好
500KV-3号主变压器,B相,2024-07-01 00:00:00,96.59,13.7,6.6,0.81,0.06,763.2,960.5,20.58,注意,一般
500KV-1号主变压器,B相,2024-07-02 00:00:00,169.22,7.55,31.16,5.94,0.02,225.0,1785.9,45.97,注意,一般
500KV-2号主变压器,B相,2024-07-02 00:00:00,93.03,5.14,4.98,15.32,0.39,822.0,2226.9,27.03,注意,良好
500KV-3号主变压器,B相,2024-07-02 00:00:00,67.4,7.17,16.61,13.2,0.39,950.0,857.3,38.1,注意,良好
500KV-1号主变压器,B相,2024-07-03 00:00:00,162.33,12.89,24.85,0.45,0.06,713.7,1686.4,38.62,注意,良好
500KV-2号主变压器,B相,2024-07-03 00:00:00,89.25,9.51,8.69,9.43,0.04,244.0,1671.8,26.51,注意,良好
500KV-3号主变压器,B相,2024-07-03 00:00:00,76.67,4.11,3.39,15.88,0.02,621.5,2608.1,24.47,注意,一般
500KV-1号主变压器,B相,2024-07-04 00:00:00,147.12,12.56,23.1,14.09,0.27,995.5,1685.3,50.15,注意,良好
500KV-2号主变压器,B相,2024-07-04 00:00:00,89.09,3.82,16.92,2.53,0.12,1200.9,3075.8,24.48,注意,良好
500KV-3号主变压器,B相,2024-07-04 00:00:00,192.17,9.36,19.05,0.27,0.24,861.1,2911.8,28.25,注意,良好
500KV-1号主变压器,B相,2024-07-05 00:00:00,249.04,6.61,1.3,17.12,0.65,373.1,2321.0,26.64,注意,良好
500KV-2号主变压器,B相,2024-07-05 00:00:00,200.87,14.76,19.19,11.7,0.22,249.1,3498.8,43.92,注意,良好
500KV-3号主变压器,B相,2024-07-05 00:00:00,8.11,7.85,29.67,0.42,0.1,517.6,1900.8,38.44,注意,一般
500KV-1号主变压器,B相,2024-07-06 00:00:00,6.3,6.4,8.49,17.99,0.59,1091.1,1969.0,32.06,注意,良好
500KV-2号主变压器,B相,2024-07-06 00:00:00,134.15,6.29,10.39,12.26,0.11,1044.6,1249.8,27.8,注意,良好
500KV-3号主变压器,B相,2024-07-06 00:00:00,212.12,3.34,13.98,5.08,0.88,1348.7,1376.9,23.71,注意,良好
500KV-1号主变压器,B相,2024-07-07 00:00:00,53.01,14.15,28.46,7.62,0.69,825.5,3323.2,52.8,注意,良好
500KV-2号主变压器,B相,2024-07-07 00:00:00,218.14,4.4,8.66,13.62,0.59,647.0,2718.5,27.59,注意,良好
500KV-3号主变压器,B相,2024-07-07 00:00:00,51.14,10.51,33.8,19.67,0.88,320.1,3188.7,62.17,注意,良好
500KV-1号主变压器,B相,2024-07-08 00:00:00,113.89,7.29,6.09,17.04,0.3,1147.8,1627.9,30.84,注意,良好
500KV-2号主变压器,B相,2024-07-08 00:00:00,9.85,11.87,19.55,7.75,0.99,801.2,2513.9,39.55,注意,良好
500KV-3号主变压器,B相,2024-07-08 00:00:00,186.71,14.83,25.77,2.19,0.06,225.8,1544.9,42.71,注意,一般
500KV-1号主变压器,B相,2024-07-09 00:00:00,227.62,7.28,17.21,3.35,0.08,835.6,1798.3,27.93,注意,良好
500KV-2号主变压器,B相,2024-07-09 00:00:00,143.1,8.11,12.28,8.7,1.18,604.9,2595.0,29.46,注意,良好
500KV-3号主变压器,B相,2024-07-09 00:00:00,206.9,7.72,17.36,13.42,0.57,544.0,3420.0,38.25,注意,良好
500KV-1号主变压器,B相,2024-07-10 00:00:00,60.21,10.86,4.0,14.77,0.25,1219.5,1765.2,29.1,注意,良好
500KV-2号主变压器,B相,2024-07-10 00:00:00,89.2,4.44,8.53,16.4,0.51,493.0,2686.9,29.83,注意,一般
500KV-3号主变压器,B相,2024-07-10 00:00:00,198.29,4.16,3.8,7.95,0.06,663.6,1410.0,15.58,注意,良好
500KV-1号主变压器,B相,2024-07-11 00:00:00,184.36,11.31,27.31,1.86,0.21,912.7,3669.2,39.53,注意,良好
500KV-2号主变压器,B相,2024-07-11 00:00:00,39.05,11.19,27.29,18.02,0.27,1458.3,3377.8,56.07,注意,良好
500KV-3号主变压器,B相,2024-07-11 00:00:00,126.15,4.91,14.69,7.67,0.75,625.7,2412.3,26.71,注意,良好
500KV-1号主变压器,B相,2024-07-12 00:00:00,211.08,10.14,3.9,8.96,1.11,905.3,1433.0,23.12,注意,一般
500KV-2号主变压器,B相,2024-07-12 00:00:00,112.38,8.82,31.54,19.62,0.25,1094.2,3524.9,62.87,注意,良好
500KV-3号主变压器,B相,2024-07-12 00:00:00,126.17,9.64,24.42,9.64,0.15,1019.5,2293.4,43.03,注意,一般
500KV-1号主变压器,B相,2024-07-13 00:00:00,54.97,12.11,3.9,10.06,0.18,1013.6,962.8,26.46,注意,差
500KV-2号主变压器,B相,2024-07-13 00:00:00,20.16,14.75,15.26,10.81,0.42,1146.5,939.3,42.18,注意,一般
500KV-3号主变压器,B相,2024-07-13 00:00:00,26.63,12.25,11.77,17.32,1.03,1033.1,892.3,40.63,注意,良好
500KV-1号主变压器,B相,2024-07-14 00:00:00,221.4,3.56,18.94,13.92,0.32,1211.9,2741.3,37.07,注意,良好
500KV-2号主变压器,B相,2024-07-14 00:00:00,147.37,7.96,32.05,17.21,0.74,741.8,3781.3,59.73,注意,差
500KV-3号主变压器,B相,2024-07-14 00:00:00,53.72,10.77,11.39,13.78,0.64,737.8,3816.9,37.63,注意,良好
500KV-1号主变压器,B相,2024-07-15 00:00:00,237.97,11.74,25.11,3.99,0.16,1348.1,1594.3,41.57,注意,良好
500KV-2号主变压器,B相,2024-07-15 00:00:00,194.6,7.47,8.2,3.36,2.08,358.3,2362.7,21.46,注意,良好
500KV-3号主变压器,B相,2024-07-15 00:00:00,260.65,9.99,28.83,6.74,0.0,970.7,2220.3,46.92,注意,良好
500KV-1号主变压器,B相,2024-07-16 00:00:00,175.22,10.81,13.21,9.21,0.78,1209.7,3169.1,35.16,注意,良好
500KV-2号主变压器,B相,2024-07-16 00:00:00,58.25,12.08,21.75,11.65,0.46,694.0,2565.6,48.23,注意,良好
500KV-3号主变压器,B相,2024-07-16 00:00:00,227.84,6.93,36.79,16.03,0.11,580.3,2092.0,58.57,注意,良好
500KV-1号主变压器,B相,2024-07-17 00:00:00,7.16,7.38,19.01,16.35,0.1,930.0,1023.1,43.88,注意,良好
500KV-2号主变压器,B相,2024-07-17 00:00:00,20.7,9.61,9.23,11.61,0.37,826.7,1947.4,29.29,注意,一般
500KV-3号主变压器,B相,2024-07-17 00:00:00,117.25,10.09,7.27,2.62,0.19,1227.0,1384.4,21.13,注意,良好
500KV-1号主变压器,B相,2024-07-18 00:00:00,92.95,12.71,11.2,13.84,0.13,316.0,1736.7,36.13,注意,良好
500KV-2号主变压器,B相,2024-07-18 00:00:00,241.65,6.0,6.83,12.74,0.64,1278.0,3572.5,25.14,注意,一般
500KV-3号主变压器,B相,2024-07-18 00:00:00,153.93,11.11,26.16,0.58,0.3,485.6,2662.9,38.81,注意,良好
500KV-1号主变压器,B相,2024-07-19 00:00:00,30.25,15.33,16.11,11.69,0.48,353.0,2260.1,44.96,注意,良好
500KV-2号主变压器,B相,2024-07-19 00:00:00,131.69,12.79,1.24,11.09,0.91,558.5,1156.8,26.09,注意,良好
500KV-3号主变压器,B相,2024-07-19 00:00:00,182.64,5.59,0.86,13.38,0.3,490.1,2554.3,20.94,注意,良好
